type,latitude,longitude,altitude (m),name
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,4.732022,-74.0549,2558,
T,4.732032,-74.05487,2558.1,
T,4.732038,-74.05484,2558.2,
T,4.73206,-74.05481,2558.3,
T,4.73205,-74.05479,2558.3,
T,4.732043,-74.05477,2558.3,
T,4.732033,-74.05475,2558.3,
T,4.732022,-74.05473,2558.4,
T,4.732015,-74.05471,2558.4,
T,4.731998,-74.05469,2558.4,
T,4.73196,-74.05467,2558.4,
T,4.731907,-74.05468,2558.2,
T,4.731865,-74.0547,2558.1,
T,4.731837,-74.05471,2558,
T,4.731812,-74.05471,2558,
T,4.731775,-74.05473,2557.9,
T,4.731728,-74.05476,2557.7,
T,4.73169,-74.05478,2557.6,
T,4.73169,-74.05479,2557.6,
T,4.731667,-74.0548,2557.5,
T,4.731675,-74.05481,2557.5,
T,4.731672,-74.05481,2557.5,
T,4.731663,-74.05481,2557.4,
T,4.73164,-74.05482,2557.4,
T,4.7316,-74.05483,2557.2,
T,4.731578,-74.05483,2557.2,
T,4.731543,-74.05483,2557.1,
T,4.731525,-74.05483,2557.1,
T,4.731515,-74.05483,2557,
T,4.731488,-74.05482,2557,
T,4.731468,-74.05484,2556.9,
T,4.73145,-74.05483,2556.9,
T,4.731423,-74.05481,2556.9,
T,4.731385,-74.05476,2556.9,
T,4.731373,-74.05472,2557,
T,4.731368,-74.05468,2557.1,
T,4.73134,-74.05464,2557.1,
T,4.731318,-74.0546,2557.1,
T,4.731303,-74.05457,2557.2,
T,4.731288,-74.05453,2557.2,
T,4.731285,-74.0545,2557.3,
T,4.731297,-74.05446,2557.4,
T,4.731302,-74.05441,2557.5,
T,4.73129,-74.05436,2557.6,
T,4.73129,-74.05431,2557.8,
T,4.731282,-74.05427,2557.8,
T,4.73128,-74.05422,2557.9,
T,4.731295,-74.05417,2558.1,
T,4.731295,-74.05414,2558.1,
T,4.731298,-74.0541,2558.1,
T,4.731278,-74.05408,2558,
T,4.73126,-74.05403,2557.9,
T,4.731255,-74.05398,2557.9,
T,4.73125,-74.05393,2557.9,
T,4.731238,-74.05387,2557.8,
T,4.731267,-74.05383,2557.8,
T,4.731272,-74.05378,2557.8,
T,4.731253,-74.05373,2557.7,
T,4.731243,-74.05368,2557.7,
T,4.731238,-74.05362,2557.7,
T,4.73122,-74.05357,2557.6,
T,4.731202,-74.05352,2557.5,
T,4.731203,-74.05347,2557.5,
T,4.731193,-74.05341,2557.5,
T,4.731193,-74.05335,2557.4,
T,4.7312,-74.0533,2557.5,
T,4.731207,-74.05325,2557.6,
T,4.73123,-74.0532,2557.7,
T,4.731257,-74.05315,2557.8,
T,4.731277,-74.05309,2558,
T,4.73126,-74.05304,2558,
T,4.731283,-74.05299,2558.2,
T,4.7313,-74.05295,2558.3,
T,4.731308,-74.05291,2558.4,
T,4.731333,-74.05287,2558.5,
T,4.731335,-74.05284,2558.6,
T,4.731358,-74.0528,2558.7,
T,4.731387,-74.05278,2558.8,
