HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,615,74,0,703,21/12/2017,14:47:38.00,0.000000,0.000000,0.000000
MEDIDA:,805,121,934,629,21/12/2017,14:47:39.00,0.000000,0.000000,0.000000
MEDIDA:,809,107,854,606,21/12/2017,14:47:40.00,0.000000,0.000000,0.000000
MEDIDA:,818,80,869,635,21/12/2017,14:47:41.00,0.000000,0.000000,0.000000
MEDIDA:,823,66,1003,715,21/12/2017,14:47:42.00,0.000000,0.000000,0.000000
MEDIDA:,821,70,1188,860,21/12/2017,14:47:43.00,0.000000,0.000000,0.000000
MEDIDA:,820,71,1207,849,21/12/2017,14:47:44.00,0.000000,0.000000,0.000000
MEDIDA:,819,70,1207,848,21/12/2017,14:47:45.00,0.000000,0.000000,0.000000
MEDIDA:,821,71,1207,851,21/12/2017,14:47:46.00,0.000000,0.000000,0.000000
MEDIDA:,820,73,1201,851,21/12/2017,14:47:47.00,0.000000,0.000000,0.000000
MEDIDA:,820,72,1188,833,21/12/2017,14:47:48.00,0.000000,0.000000,0.000000
MEDIDA:,817,80,1174,804,21/12/2017,14:47:49.00,0.000000,0.000000,0.000000
MEDIDA:,817,81,1112,781,21/12/2017,14:47:50.00,0.000000,0.000000,0.000000
MEDIDA:,809,99,1071,762,21/12/2017,14:47:51.00,0.000000,0.000000,0.000000
MEDIDA:,812,92,961,684,21/12/2017,14:47:52.00,0.000000,0.000000,0.000000
MEDIDA:,812,93,967,680,21/12/2017,14:47:53.00,0.000000,0.000000,0.000000
MEDIDA:,811,95,966,687,21/12/2017,14:47:54.00,0.000000,0.000000,0.000000
MEDIDA:,811,97,955,669,21/12/2017,14:47:55.00,0.000000,0.000000,0.000000
MEDIDA:,811,94,945,677,21/12/2017,14:47:56.00,0.000000,0.000000,0.000000
MEDIDA:,810,99,949,666,21/12/2017,14:47:57.00,0.000000,0.000000,0.000000
MEDIDA:,807,102,930,653,21/12/2017,14:47:58.00,0.000000,0.000000,0.000000
MEDIDA:,807,105,907,634,21/12/2017,14:47:59.00,0.000000,0.000000,0.000000
MEDIDA:,806,106,887,623,21/12/2017,14:48:00.00,0.000000,0.000000,0.000000
MEDIDA:,807,106,874,615,21/12/2017,14:48:01.00,0.000000,0.000000,0.000000
MEDIDA:,807,103,886,624,21/12/2017,14:48:02.00,0.000000,0.000000,0.000000
MEDIDA:,806,104,884,628,21/12/2017,14:48:03.00,0.000000,0.000000,0.000000
MEDIDA:,804,115,876,617,21/12/2017,14:48:04.00,0.000000,0.000000,0.000000
MEDIDA:,802,115,825,581,21/12/2017,14:48:05.00,0.000000,0.000000,0.000000
MEDIDA:,802,116,819,582,21/12/2017,14:48:06.00,0.000000,0.000000,0.000000
MEDIDA:,802,117,819,570,21/12/2017,14:48:07.00,0.000000,0.000000,0.000000
MEDIDA:,801,118,801,571,21/12/2017,14:48:08.00,0.000000,0.000000,0.000000
MEDIDA:,800,122,798,567,21/12/2017,14:48:09.00,0.000000,0.000000,0.000000
MEDIDA:,798,126,785,551,21/12/2017,14:48:10.00,0.000000,0.000000,0.000000
MEDIDA:,796,132,760,535,21/12/2017,14:48:11.00,0.000000,0.000000,0.000000
MEDIDA:,791,139,734,515,21/12/2017,14:48:12.00,0.000000,0.000000,0.000000
MEDIDA:,792,140,709,503,21/12/2017,14:48:13.00,0.000000,0.000000,0.000000
MEDIDA:,793,138,713,494,21/12/2017,14:48:14.00,0.000000,0.000000,0.000000
MEDIDA:,793,138,703,498,21/12/2017,14:48:15.00,0.000000,0.000000,0.000000
MEDIDA:,797,128,708,518,21/12/2017,14:48:16.00,0.000000,0.000000,0.000000
MEDIDA:,788,153,713,506,21/12/2017,14:48:17.00,0.000000,0.000000,0.000000
MEDIDA:,801,113,682,494,21/12/2017,14:48:18.00,0.000000,0.000000,0.000000
MEDIDA:,796,124,781,558,21/12/2017,14:48:19.00,0.000000,0.000000,0.000000
MEDIDA:,797,122,768,548,21/12/2017,14:48:20.00,0.000000,0.000000,0.000000
MEDIDA:,797,122,768,548,21/12/2017,14:48:21.00,0.000000,0.000000,0.000000
MEDIDA:,788,149,767,497,21/12/2017,14:48:22.00,0.000000,0.000000,0.000000
MEDIDA:,803,102,738,546,21/12/2017,14:48:23.00,0.000000,0.000000,0.000000
MEDIDA:,807,95,894,646,21/12/2017,14:48:24.00,0.000000,0.000000,0.000000
MEDIDA:,803,106,878,614,21/12/2017,14:48:25.00,0.000000,0.000000,0.000000
MEDIDA:,801,105,861,605,21/12/2017,14:48:26.00,0.000000,0.000000,0.000000
MEDIDA:,803,105,863,616,21/12/2017,14:48:27.00,0.000000,0.000000,0.000000
MEDIDA:,802,104,863,615,21/12/2017,14:48:28.00,0.000000,0.000000,0.000000
MEDIDA:,804,101,884,616,21/12/2017,14:48:29.00,0.000000,0.000000,0.000000
MEDIDA:,809,87,961,705,21/12/2017,14:48:30.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,969,675,21/12/2017,14:48:31.00,0.000000,0.000000,0.000000
MEDIDA:,806,88,985,703,21/12/2017,14:48:32.00,0.000000,0.000000,0.000000
MEDIDA:,808,89,987,695,21/12/2017,14:48:33.00,0.000000,0.000000,0.000000
MEDIDA:,811,81,1006,694,21/12/2017,14:48:34.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1029,730,21/12/2017,14:48:35.00,0.000000,0.000000,0.000000
MEDIDA:,810,84,1024,721,21/12/2017,14:48:36.00,0.000000,0.000000,0.000000
MEDIDA:,809,84,1025,721,21/12/2017,14:48:37.00,0.000000,0.000000,0.000000
MEDIDA:,810,84,1025,729,21/12/2017,14:48:38.00,0.000000,0.000000,0.000000
MEDIDA:,808,84,1015,719,21/12/2017,14:48:39.00,0.000000,0.000000,0.000000
MEDIDA:,809,84,1024,730,21/12/2017,14:48:40.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1025,721,21/12/2017,14:48:41.00,0.000000,0.000000,0.000000
MEDIDA:,809,84,1024,720,21/12/2017,14:48:42.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1026,730,21/12/2017,14:48:43.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1025,721,21/12/2017,14:48:44.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1026,721,21/12/2017,14:48:45.00,0.000000,0.000000,0.000000
MEDIDA:,807,85,1024,730,21/12/2017,14:48:46.00,0.000000,0.000000,0.000000
MEDIDA:,810,85,1026,721,21/12/2017,14:48:47.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1027,722,21/12/2017,14:48:48.00,0.000000,0.000000,0.000000
MEDIDA:,809,84,1027,731,21/12/2017,14:48:49.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1026,722,21/12/2017,14:48:50.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1027,730,21/12/2017,14:48:51.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1026,722,21/12/2017,14:48:52.00,0.000000,0.000000,0.000000
MEDIDA:,808,85,1024,720,21/12/2017,14:48:53.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1027,730,21/12/2017,14:48:54.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1025,721,21/12/2017,14:48:55.00,0.000000,0.000000,0.000000
MEDIDA:,810,85,1027,723,21/12/2017,14:48:56.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1027,730,21/12/2017,14:48:57.00,0.000000,0.000000,0.000000
MEDIDA:,810,85,1027,723,21/12/2017,14:48:58.00,0.000000,0.000000,0.000000
MEDIDA:,809,84,1027,730,21/12/2017,14:48:59.00,0.000000,0.000000,0.000000
MEDIDA:,808,85,1025,720,21/12/2017,14:49:00.00,0.000000,0.000000,0.000000
MEDIDA:,808,85,1026,722,21/12/2017,14:49:01.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1026,731,21/12/2017,14:49:02.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1026,722,21/12/2017,14:49:03.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1026,721,21/12/2017,14:49:04.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1025,729,21/12/2017,14:49:05.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1025,722,21/12/2017,14:49:06.00,0.000000,0.000000,0.000000
MEDIDA:,807,85,1025,720,21/12/2017,14:49:07.00,0.000000,0.000000,0.000000
MEDIDA:,809,84,1017,731,21/12/2017,14:49:08.00,0.000000,0.000000,0.000000
MEDIDA:,808,84,1026,721,21/12/2017,14:49:09.00,0.000000,0.000000,0.000000
MEDIDA:,808,84,1025,730,21/12/2017,14:49:10.00,0.000000,0.000000,0.000000
MEDIDA:,807,85,1024,720,21/12/2017,14:49:11.00,0.000000,0.000000,0.000000
MEDIDA:,809,84,1025,721,21/12/2017,14:49:12.00,0.000000,0.000000,0.000000
MEDIDA:,807,84,1024,729,21/12/2017,14:49:13.00,0.000000,0.000000,0.000000
MEDIDA:,808,84,1025,721,21/12/2017,14:49:14.00,0.000000,0.000000,0.000000
MEDIDA:,808,84,1025,722,21/12/2017,14:49:15.00,0.000000,0.000000,0.000000
MEDIDA:,809,84,1025,730,21/12/2017,14:49:16.00,0.000000,0.000000,0.000000
MEDIDA:,809,85,1026,721,21/12/2017,14:49:17.00,0.000000,0.000000,0.000000
MEDIDA:,809,84,1025,721,21/12/2017,14:49:18.00,0.000000,0.000000,0.000000
MEDIDA:,808,84,1026,723,21/12/2017,14:49:19.00,0.000000,0.000000,0.000000
MEDIDA:,807,84,1022,718,21/12/2017,14:49:20.00,0.000000,0.000000,0.000000
MEDIDA:,808,84,1026,730,21/12/2017,14:49:21.00,0.000000,0.000000,0.000000
MEDIDA:,808,84,1025,721,21/12/2017,14:49:22.00,0.000000,0.000000,0.000000
