HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,0,0,0,0,21/9/2017,23:00:39.00,4.662103,-74.06036,2584.7000
MEDIDA:,0,0,0,1215,21/9/2017,23:00:40.00,4.662103,-74.06036,2584.7000
MEDIDA:,0,0,0,959,21/9/2017,23:00:41.00,4.662103,-74.06036,2584.7000
MEDIDA:,0,0,0,841,21/9/2017,23:00:42.00,4.662103,-74.06036,2584.7000
MEDIDA:,0,0,0,828,21/9/2017,23:00:43.00,4.662103,-74.06036,2584.7000
MEDIDA:,0,0,0,1025,21/9/2017,23:00:44.00,4.662103,-74.06036,2584.7000
MEDIDA:,0,0,3906,1088,21/9/2017,23:00:45.00,4.662103,-74.06036,2584.7000
MEDIDA:,0,0,3906,1154,21/9/2017,23:00:46.00,4.662103,-74.06036,2584.7000
MEDIDA:,0,0,3906,1243,21/9/2017,23:00:47.00,4.662103,-74.06036,2584.7000
MEDIDA:,0,0,3236,1219,21/9/2017,23:00:48.00,4.662103,-74.06036,2584.7000
MEDIDA:,0,0,3236,996,21/9/2017,23:00:49.00,4.662103,-74.06036,2584.7000
MEDIDA:,0,0,3236,996,21/9/2017,23:00:50.00,4.662103,-74.06036,2584.7000
MEDIDA:,0,0,3236,996,21/9/2017,23:00:51.00,4.662046,-74.06022,2601.2000
MEDIDA:,0,0,0,2276,21/9/2017,23:00:52.00,4.662046,-74.06022,2601.2000
MEDIDA:,0,0,0,2276,21/9/2017,23:00:53.00,4.662046,-74.06022,2601.2000
MEDIDA:,0,0,0,2276,21/9/2017,23:00:54.00,4.662046,-74.06022,2601.2000
MEDIDA:,0,0,574,3433,21/9/2017,23:00:55.00,4.662046,-74.06022,2601.2000
MEDIDA:,0,0,574,1243,21/9/2017,23:00:56.00,4.662046,-74.06022,2601.2000
MEDIDA:,0,0,1855,824,21/9/2017,23:00:57.00,4.662046,-74.06022,2601.2000
MEDIDA:,0,0,1129,543,21/9/2017,23:00:58.00,4.662046,-74.06022,2601.2000
MEDIDA:,0,0,894,455,21/9/2017,23:00:59.00,4.662046,-74.06022,2601.2000
MEDIDA:,0,0,894,453,21/9/2017,23:01:00.00,4.662046,-74.06022,2601.2000
MEDIDA:,0,0,894,497,21/9/2017,23:01:01.00,4.662208,-74.06014,2591.8000
MEDIDA:,0,0,2646,486,21/9/2017,23:01:02.00,4.662208,-74.06010,2590.5000
MEDIDA:,0,0,2646,513,21/9/2017,23:01:03.00,4.662158,-74.06005,2592.9000
MEDIDA:,0,0,2646,589,21/9/2017,23:01:04.00,4.662138,-74.06002,2597.3000
MEDIDA:,0,0,2646,741,21/9/2017,23:01:05.00,4.662104,-74.06000,2599.6000
MEDIDA:,0,0,4146,841,21/9/2017,23:01:06.00,4.662080,-74.05998,2601.8000
MEDIDA:,0,0,4146,1034,21/9/2017,23:01:07.00,4.662060,-74.05993,2601.7000
MEDIDA:,0,0,4146,1034,21/9/2017,23:01:08.00,4.662071,-74.05994,2600.3000
MEDIDA:,0,0,4146,1034,21/9/2017,23:01:09.00,4.662080,-74.05996,2600.1000
MEDIDA:,0,0,0,1034,21/9/2017,23:01:10.00,4.662077,-74.05996,2599.6000
STOP
MEDIDA:,0,0,0,394,21/9/2017,23:02:24.00,4.662115,-74.05972,2604.5000
MEDIDA:,0,0,690,354,21/9/2017,23:02:25.00,4.662109,-74.05969,2606.2000
MEDIDA:,0,0,655,344,21/9/2017,23:02:26.00,4.662090,-74.05965,2607.7000
MEDIDA:,0,0,655,356,21/9/2017,23:02:27.00,4.662057,-74.05961,2607.8000
MEDIDA:,0,0,655,375,21/9/2017,23:02:28.00,4.662046,-74.05957,2608.7000
MEDIDA:,0,0,683,356,21/9/2017,23:02:29.00,4.662046,-74.05952,2611.9000
MEDIDA:,0,0,649,346,21/9/2017,23:02:30.00,4.662047,-74.05947,2613.8000
MEDIDA:,0,0,984,328,21/9/2017,23:02:31.00,4.662024,-74.05944,2615.1000
MEDIDA:,0,0,616,343,21/9/2017,23:02:32.00,4.661986,-74.05940,2614.0000
MEDIDA:,0,0,1663,344,21/9/2017,23:02:33.00,4.661956,-74.05935,2615.9000
MEDIDA:,0,0,641,342,21/9/2017,23:02:34.00,4.661933,-74.05930,2618.4000
MEDIDA:,0,0,640,355,21/9/2017,23:02:35.00,4.661913,-74.05925,2621.8000
MEDIDA:,0,0,1652,371,21/9/2017,23:02:36.00,4.661871,-74.05920,2622.0000
MEDIDA:,0,0,691,368,21/9/2017,23:02:37.00,4.661842,-74.05917,2622.1000
MEDIDA:,0,0,703,371,21/9/2017,23:02:38.00,4.661828,-74.05913,2625.3000
MEDIDA:,0,0,1101,385,21/9/2017,23:02:39.00,4.661806,-74.05910,2626.5000
MEDIDA:,0,0,728,393,21/9/2017,23:02:40.00,4.661811,-74.05906,2629.3000
MEDIDA:,0,0,741,398,21/9/2017,23:02:41.00,4.661821,-74.05901,2632.6000
MEDIDA:,0,0,746,390,21/9/2017,23:02:42.00,4.661823,-74.05898,2636.1000
MEDIDA:,0,0,732,391,21/9/2017,23:02:43.00,4.661824,-74.05893,2638.6000
MEDIDA:,0,0,725,388,21/9/2017,23:02:44.00,4.661815,-74.05889,2641.4000
MEDIDA:,0,0,764,402,21/9/2017,23:02:45.00,4.661792,-74.05885,2642.2000
MEDIDA:,0,0,753,399,21/9/2017,23:02:46.00,4.661763,-74.05880,2642.9000
MEDIDA:,0,0,750,394,21/9/2017,23:02:47.00,4.661743,-74.05876,2643.8000
MEDIDA:,0,0,714,374,21/9/2017,23:02:48.00,4.661700,-74.05872,2642.3000
MEDIDA:,0,0,701,375,21/9/2017,23:02:49.00,4.661658,-74.05868,2640.8000
MEDIDA:,0,0,701,388,21/9/2017,23:02:50.00,4.661505,-74.05866,2628.1000
MEDIDA:,0,0,684,378,21/9/2017,23:02:51.00,4.661360,-74.05864,2615.8000
MEDIDA:,0,0,684,405,21/9/2017,23:02:52.00,4.661276,-74.05861,2609.4000
MEDIDA:,0,0,696,399,21/9/2017,23:02:53.00,4.661218,-74.05858,2604.9000
MEDIDA:,0,0,667,390,21/9/2017,23:02:54.00,4.661177,-74.05855,2601.8000
MEDIDA:,0,0,643,369,21/9/2017,23:02:55.00,4.661149,-74.05851,2599.4000
MEDIDA:,0,0,604,351,21/9/2017,23:02:56.00,4.661127,-74.05848,2599.2000
MEDIDA:,0,0,596,351,21/9/2017,23:02:57.00,4.661101,-74.05843,2599.6000
MEDIDA:,0,0,599,341,21/9/2017,23:02:58.00,4.661072,-74.05839,2599.7000
MEDIDA:,0,0,583,340,21/9/2017,23:02:59.00,4.661041,-74.05834,2599.4000
MEDIDA:,0,0,589,338,21/9/2017,23:03:00.00,4.660998,-74.05830,2598.0000
MEDIDA:,0,0,576,348,21/9/2017,23:03:01.00,4.660964,-74.05825,2597.3000
MEDIDA:,0,0,1431,360,21/9/2017,23:03:02.00,4.660931,-74.05822,2596.1000
MEDIDA:,0,0,621,360,21/9/2017,23:03:03.00,4.660902,-74.05819,2594.4000
MEDIDA:,0,0,604,346,21/9/2017,23:03:04.00,4.660877,-74.05817,2591.8000
MEDIDA:,0,0,603,348,21/9/2017,23:03:05.00,4.660864,-74.05811,2592.0000
MEDIDA:,0,0,612,353,21/9/2017,23:03:06.00,4.660854,-74.05806,2593.3000
MEDIDA:,0,0,612,367,21/9/2017,23:03:07.00,4.660834,-74.05802,2592.4000
MEDIDA:,0,0,648,377,21/9/2017,23:03:08.00,4.660808,-74.05797,2593.8000
MEDIDA:,0,0,651,385,21/9/2017,23:03:09.00,4.660775,-74.05792,2596.2000
MEDIDA:,0,0,671,387,21/9/2017,23:03:10.00,4.660738,-74.05789,2597.3000
MEDIDA:,0,0,661,382,21/9/2017,23:03:11.00,4.660710,-74.05785,2598.1000
MEDIDA:,0,0,650,377,21/9/2017,23:03:12.00,4.660679,-74.05781,2597.7000
MEDIDA:,0,0,642,378,21/9/2017,23:03:13.00,4.660645,-74.05777,2596.9000
MEDIDA:,0,0,647,378,21/9/2017,23:03:14.00,4.660613,-74.05772,2596.9000
MEDIDA:,0,0,688,365,21/9/2017,23:03:15.00,4.660570,-74.05768,2597.8000
MEDIDA:,0,0,676,356,21/9/2017,23:03:16.00,4.660533,-74.05764,2596.4000
MEDIDA:,0,0,660,356,21/9/2017,23:03:17.00,4.660499,-74.05760,2595.9000
MEDIDA:,0,0,683,358,21/9/2017,23:03:18.00,4.660462,-74.05755,2594.9000
MEDIDA:,0,0,661,348,21/9/2017,23:03:19.00,4.660427,-74.05751,2594.4000
MEDIDA:,0,0,676,356,21/9/2017,23:03:20.00,4.660398,-74.05747,2594.3000
MEDIDA:,0,0,676,372,21/9/2017,23:03:21.00,4.660369,-74.05743,2595.2000
MEDIDA:,0,0,1719,383,21/9/2017,23:03:22.00,4.660343,-74.05740,2595.3000
MEDIDA:,0,0,719,388,21/9/2017,23:03:23.00,4.660322,-74.05736,2596.2000
MEDIDA:,0,0,766,410,21/9/2017,23:03:24.00,4.660299,-74.05733,2596.5000
MEDIDA:,0,0,776,411,21/9/2017,23:03:25.00,4.660282,-74.05729,2597.2000
MEDIDA:,0,0,784,419,21/9/2017,23:03:26.00,4.660281,-74.05726,2599.5000
MEDIDA:,0,0,784,433,21/9/2017,23:03:27.00,4.660257,-74.05723,2598.5000
MEDIDA:,0,0,784,442,21/9/2017,23:03:28.00,4.660227,-74.05720,2597.5000
MEDIDA:,0,0,784,476,21/9/2017,23:03:29.00,4.660195,-74.05716,2596.8000
MEDIDA:,0,0,0,615,21/9/2017,23:03:30.00,4.660173,-74.05713,2597.1000
MEDIDA:,0,0,0,708,21/9/2017,23:03:31.00,4.660161,-74.05710,2597.6000
MEDIDA:,0,0,0,837,21/9/2017,23:03:32.00,4.660156,-74.05708,2598.3000
MEDIDA:,0,0,0,992,21/9/2017,23:03:33.00,4.660146,-74.05707,2598.0000
MEDIDA:,0,0,0,1210,21/9/2017,23:03:34.00,4.660138,-74.05705,2598.0000
MEDIDA:,0,0,0,1266,21/9/2017,23:03:35.00,4.660129,-74.05704,2597.7000
MEDIDA:,0,0,0,1266,21/9/2017,23:03:36.00,4.660118,-74.05703,2597.5000
MEDIDA:,0,0,0,1103,21/9/2017,23:03:37.00,4.660112,-74.05701,2598.5000
MEDIDA:,0,0,712,1001,21/9/2017,23:03:38.00,4.660099,-74.05700,2598.4000
MEDIDA:,0,0,712,1021,21/9/2017,23:03:39.00,4.660089,-74.05699,2598.5000
MEDIDA:,0,0,712,1626,21/9/2017,23:03:40.00,4.660077,-74.05698,2598.2000
MEDIDA:,0,0,712,1626,21/9/2017,23:03:41.00,4.660064,-74.05698,2597.2000
MEDIDA:,0,0,712,1626,21/9/2017,23:03:42.00,4.660057,-74.05697,2596.6000
MEDIDA:,0,0,0,1626,21/9/2017,23:03:43.00,4.660046,-74.05697,2595.4000
STOP
MEDIDA:,0,0,0,468,21/9/2017,23:03:54.00,4.660084,-74.05691,2595.1000
MEDIDA:,0,0,0,445,21/9/2017,23:03:55.00,4.660098,-74.05688,2597.9000
MEDIDA:,0,0,1851,424,21/9/2017,23:03:56.00,4.660113,-74.05687,2601.5000
MEDIDA:,0,0,1851,420,21/9/2017,23:03:57.00,4.660125,-74.05686,2606.5000
MEDIDA:,0,0,1851,417,21/9/2017,23:03:58.00,4.660130,-74.05685,2611.7000
MEDIDA:,0,0,1851,424,21/9/2017,23:03:59.00,4.660149,-74.05685,2613.0000
MEDIDA:,0,0,1851,427,21/9/2017,23:04:00.00,4.660168,-74.05685,2615.5000
MEDIDA:,0,0,0,416,21/9/2017,23:04:01.00,4.660183,-74.05683,2618.8000
MEDIDA:,0,0,1558,404,21/9/2017,23:04:02.00,4.660208,-74.05681,2621.2000
MEDIDA:,0,0,1558,405,21/9/2017,23:04:03.00,4.660230,-74.05679,2624.1000
MEDIDA:,0,0,1558,415,21/9/2017,23:04:04.00,4.660240,-74.05678,2627.8000
MEDIDA:,0,0,2933,421,21/9/2017,23:04:05.00,4.660256,-74.05674,2630.6000
MEDIDA:,0,0,2933,434,21/9/2017,23:04:06.00,4.660279,-74.05669,2636.4000
MEDIDA:,0,0,1592,431,21/9/2017,23:04:07.00,4.660301,-74.05667,2638.4000
MEDIDA:,0,0,779,404,21/9/2017,23:04:08.00,4.660322,-74.05661,2643.6000
MEDIDA:,0,0,779,404,21/9/2017,23:04:09.00,4.660341,-74.05658,2648.0000
MEDIDA:,0,0,779,402,21/9/2017,23:04:10.00,4.660361,-74.05654,2654.2000
MEDIDA:,0,0,707,372,21/9/2017,23:04:11.00,4.660395,-74.05650,2658.3000
MEDIDA:,0,0,707,356,21/9/2017,23:04:12.00,4.660427,-74.05638,2665.7000
MEDIDA:,0,0,707,421,21/9/2017,23:04:13.00,4.660455,-74.05636,2664.1000
MEDIDA:,0,0,707,487,21/9/2017,23:04:14.00,4.660480,-74.05632,2662.1000
MEDIDA:,0,0,707,510,21/9/2017,23:04:15.00,4.660501,-74.05632,2657.5000
MEDIDA:,0,0,0,599,21/9/2017,23:04:16.00,4.660541,-74.05631,2652.3000
MEDIDA:,0,0,0,600,21/9/2017,23:04:17.00,4.660575,-74.05631,2646.8000
MEDIDA:,0,0,0,852,21/9/2017,23:04:18.00,4.660620,-74.05631,2636.2000
MEDIDA:,0,0,0,852,21/9/2017,23:04:19.00,4.660643,-74.05629,2634.1000
MEDIDA:,0,0,0,852,21/9/2017,23:04:20.00,4.660678,-74.05630,2625.4000
MEDIDA:,0,0,0,852,21/9/2017,23:04:21.00,4.660692,-74.05629,2623.0000
MEDIDA:,0,0,0,852,21/9/2017,23:04:22.00,4.660710,-74.05629,2620.6000
STOP
MEDIDA:,0,0,0,0,21/9/2017,23:04:43.00,4.660867,-74.05624,2610.2000
MEDIDA:,0,0,0,573,21/9/2017,23:04:44.00,4.660883,-74.05623,2609.7000
MEDIDA:,0,0,1158,601,21/9/2017,23:04:45.00,4.660899,-74.05622,2609.4000
MEDIDA:,0,0,1033,430,21/9/2017,23:04:46.00,4.660923,-74.05620,2610.2000
MEDIDA:,0,0,889,469,21/9/2017,23:04:47.00,4.660953,-74.05619,2609.7000
MEDIDA:,0,0,889,490,21/9/2017,23:04:48.00,4.660978,-74.05618,2608.7000
MEDIDA:,0,0,889,489,21/9/2017,23:04:49.00,4.660997,-74.05617,2609.2000
MEDIDA:,0,0,2446,493,21/9/2017,23:04:50.00,4.661023,-74.05615,2609.9000
MEDIDA:,0,0,882,453,21/9/2017,23:04:51.00,4.661048,-74.05614,2610.7000
MEDIDA:,0,0,851,434,21/9/2017,23:04:52.00,4.661067,-74.05612,2611.7000
MEDIDA:,0,0,766,407,21/9/2017,23:04:53.00,4.661084,-74.05611,2613.3000
MEDIDA:,0,0,766,405,21/9/2017,23:04:54.00,4.661111,-74.05608,2614.8000
MEDIDA:,0,0,734,381,21/9/2017,23:04:55.00,4.661141,-74.05607,2616.0000
MEDIDA:,0,0,734,387,21/9/2017,23:04:56.00,4.661164,-74.05606,2617.2000
MEDIDA:,0,0,710,373,21/9/2017,23:04:57.00,4.661174,-74.05604,2617.9000
MEDIDA:,0,0,770,366,21/9/2017,23:04:58.00,4.661180,-74.05602,2618.7000
MEDIDA:,0,0,670,354,21/9/2017,23:04:59.00,4.661197,-74.05601,2620.2000
MEDIDA:,0,0,654,343,21/9/2017,23:05:00.00,4.661230,-74.05598,2620.6000
MEDIDA:,0,0,648,344,21/9/2017,23:05:01.00,4.661292,-74.05596,2617.8000
MEDIDA:,0,0,648,358,21/9/2017,23:05:02.00,4.661353,-74.05594,2615.6000
MEDIDA:,0,0,2466,349,21/9/2017,23:05:03.00,4.661398,-74.05590,2617.4000
MEDIDA:,0,0,639,341,21/9/2017,23:05:03.89,4.661398,-74.05590,2617.4000
MEDIDA:,0,0,639,347,21/9/2017,23:05:05.00,4.661398,-74.05590,2617.4000
MEDIDA:,0,0,1880,387,21/9/2017,23:05:06.00,4.661398,-74.05590,2617.4000
MEDIDA:,0,0,704,390,21/9/2017,23:05:07.00,4.661398,-74.05590,2617.4000
MEDIDA:,0,0,704,423,21/9/2017,23:05:08.00,4.661446,-74.05531,2751.2000
MEDIDA:,0,0,704,538,21/9/2017,23:05:09.00,4.661681,-74.05544,2663.8000
MEDIDA:,0,0,704,524,21/9/2017,23:05:10.00,4.661771,-74.05548,2640.4000
