HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,2364,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,2364,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,2364,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,2364,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
STOP
MEDIDA:,0,0,0,0,1/5/2017,11:15:04.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,983,1/5/2017,11:15:05.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,798,1/5/2017,11:15:06.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1733,728,1/5/2017,11:15:07.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1425,633,1/5/2017,11:15:08.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1257,564,1/5/2017,11:15:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1096,521,1/5/2017,11:15:10.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1041,493,1/5/2017,11:15:11.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1032,491,1/5/2017,11:15:12.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,999,472,1/5/2017,11:15:13.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,980,467,1/5/2017,11:15:14.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,947,450,1/5/2017,11:15:15.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,926,443,1/5/2017,11:15:16.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,929,454,1/5/2017,11:15:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,890,425,1/5/2017,11:15:18.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,888,423,1/5/2017,11:15:19.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,886,418,1/5/2017,11:15:20.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,871,414,1/5/2017,11:15:21.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,865,413,1/5/2017,11:15:22.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,859,408,1/5/2017,11:15:23.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,846,405,1/5/2017,11:15:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,842,399,1/5/2017,11:15:25.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,822,396,1/5/2017,11:15:26.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,821,389,1/5/2017,11:15:27.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,820,398,1/5/2017,11:15:28.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,832,392,1/5/2017,11:15:29.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,823,394,1/5/2017,11:15:30.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,817,385,1/5/2017,11:15:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,800,383,1/5/2017,11:15:32.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,794,378,1/5/2017,11:15:33.00,0.000000,0.000000,0.000000
