HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,106,0,229,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,110,0,1610,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,832,106,0,1610,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,829,109,0,1600,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,832,108,0,1600,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,837,105,0,1598,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,111,0,1616,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,840,107,0,1616,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,837,109,0,1605,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,838,109,0,1619,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,841,107,0,1619,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,110,0,1613,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,110,0,1613,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,842,107,0,1608,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,838,110,0,1619,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,840,106,0,1619,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,843,110,0,1610,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,110,0,1610,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,842,107,0,1606,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,840,111,0,1620,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,841,108,0,1620,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,840,109,0,1615,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,837,111,0,1617,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,842,104,0,1617,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,840,111,0,1612,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,841,108,0,1612,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,842,108,0,1608,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,111,0,1618,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,107,0,1618,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,111,0,1615,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,838,110,0,1615,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,841,109,0,1616,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,838,110,0,1623,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,107,0,1623,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,842,108,0,1609,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,821,109,0,1609,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,841,107,0,1595,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,835,111,0,1624,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,841,109,0,1624,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,838,110,0,1619,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,112,0,1620,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,108,0,1620,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,835,109,0,1614,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,838,109,0,1614,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,107,0,1610,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,112,0,1616,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,838,107,0,1616,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,111,0,1613,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,837,110,0,1613,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,837,108,0,1615,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,837,112,0,1619,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,109,0,1619,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,837,108,0,1614,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,109,0,1613,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,107,0,1613,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,837,110,0,1616,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,110,0,1616,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,108,0,1609,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,112,0,1626,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,835,109,0,1626,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,111,0,1621,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,111,0,1621,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,837,107,0,1618,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,840,109,0,1621,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,838,107,0,1621,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,842,108,0,1624,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,111,0,1624,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,105,0,1631,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,838,111,0,1653,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,840,105,0,1653,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,840,106,0,1663,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,835,107,0,1663,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,840,102,0,1677,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,840,105,0,1690,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,101,0,1690,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,832,105,0,1684,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,824,104,0,1684,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,835,103,0,1685,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,107,0,1698,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,102,0,1698,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,106,0,1690,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,104,0,1690,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,103,0,1693,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,105,0,1698,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,841,101,0,1698,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,105,0,1684,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,104,0,1684,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,104,0,1694,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,107,0,1694,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,102,0,1698,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,106,0,1703,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,103,0,1703,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,835,106,0,1692,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,832,103,0,1692,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,101,0,1690,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,830,105,0,1694,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,101,0,1694,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,831,108,0,1693,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,831,103,0,1693,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,105,0,1699,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,828,105,0,1699,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,831,101,0,1696,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,829,108,0,1699,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,100,0,1699,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,104,0,1686,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,835,104,0,1686,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,103,0,1694,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,107,0,1701,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,831,102,0,1701,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,830,106,0,1700,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,104,0,1700,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,837,104,0,1695,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,106,0,1695,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,101,0,1701,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,104,0,1698,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,839,102,0,1698,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,104,0,1693,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,819,104,0,1693,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,838,103,0,1681,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,837,106,0,1705,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,103,0,1705,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,836,107,0,1697,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,104,0,1697,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,837,104,0,1703,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,828,104,0,1703,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,100,0,1694,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,830,106,0,1697,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,102,0,1697,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,105,0,1699,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,832,106,0,1699,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,102,0,1698,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,832,108,0,1706,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,101,0,1706,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,829,106,0,1697,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,830,104,0,1697,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,834,102,0,1696,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,829,106,0,1696,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,100,0,1691,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,832,107,0,1706,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,835,103,0,1706,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,833,105,0,1696,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,830,106,0,1696,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,831,103,0,1698,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,826,106,0,1700,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,831,102,0,1700,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,829,105,0,1698,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,830,103,0,1698,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,829,103,0,1693,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,827,104,0,1700,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
