HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,717,418,0,710,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,945,626,0,650,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,757,874,0,563,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,893,909,0,489,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,914,699,543,464,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,893,601,543,450,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,868,398,1322,455,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,843,441,1322,474,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,818,516,1322,483,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,801,565,3583,492,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,793,635,3583,481,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,791,572,3583,477,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,787,617,3583,480,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,786,605,0,475,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,786,522,0,479,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,776,601,0,493,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,779,662,0,472,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,767,663,0,462,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,781,627,0,453,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,781,588,0,449,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
