HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG
MEDIDA:,302,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,796,0,0,853,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,796,0,1184,832,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,796,0,1127,738,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,798,0,1024,687,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,798,0,944,670,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,798,0,934,630,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,798,0,869,613,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,785,0,826,600,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,799,0,841,589,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,799,0,829,589,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,798,0,839,614,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,799,0,864,619,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,801,0,899,649,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,802,6,886,631,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,800,0,865,615,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,802,0,863,603,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,802,0,880,627,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,801,0,877,612,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,802,0,850,593,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,803,0,823,583,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,799,0,810,579,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
