HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,0,0,0,372,19/9/2017,21:45:16.00,4.660608,-74.05779,2610.4000
MEDIDA:,0,0,790,360,19/9/2017,21:45:17.00,4.660634,-74.05774,2614.1000
MEDIDA:,0,0,771,351,19/9/2017,21:45:18.00,4.660578,-74.05767,2614.7000
MEDIDA:,0,0,927,355,19/9/2017,21:45:19.00,4.660549,-74.05764,2602.9000
MEDIDA:,0,0,930,354,19/9/2017,21:45:20.00,4.660539,-74.05763,2603.1000
MEDIDA:,0,0,909,363,19/9/2017,21:45:21.00,4.660508,-74.05760,2592.4000
MEDIDA:,0,0,897,350,19/9/2017,21:45:22.00,4.660477,-74.05754,2594.1000
MEDIDA:,0,0,843,331,19/9/2017,21:45:23.00,4.660470,-74.05752,2593.7000
MEDIDA:,0,0,839,338,19/9/2017,21:45:24.00,4.660447,-74.05750,2592.3000
MEDIDA:,0,0,848,333,19/9/2017,21:45:25.00,4.660422,-74.05746,2592.2000
MEDIDA:,0,0,840,328,19/9/2017,21:45:26.00,4.660396,-74.05743,2591.4000
MEDIDA:,0,0,835,324,19/9/2017,21:45:27.00,4.660370,-74.05740,2590.2000
MEDIDA:,0,0,832,327,19/9/2017,21:45:28.00,4.660348,-74.05736,2590.7000
MEDIDA:,0,0,840,336,19/9/2017,21:45:29.00,4.660325,-74.05733,2590.9000
MEDIDA:,0,0,843,332,19/9/2017,21:45:30.00,4.660309,-74.05731,2591.6000
MEDIDA:,0,0,846,334,19/9/2017,21:45:31.00,4.660290,-74.05728,2592.2000
MEDIDA:,0,0,844,328,19/9/2017,21:45:32.00,4.660270,-74.05725,2592.4000
MEDIDA:,0,0,814,315,19/9/2017,21:45:33.00,4.660253,-74.05723,2594.2000
MEDIDA:,0,0,820,331,19/9/2017,21:45:34.00,4.660228,-74.05719,2593.5000
MEDIDA:,0,0,840,336,19/9/2017,21:45:35.00,4.660205,-74.05716,2593.9000
MEDIDA:,0,0,881,356,19/9/2017,21:45:36.00,4.660183,-74.05713,2594.3000
MEDIDA:,0,0,918,368,19/9/2017,21:45:37.00,4.660162,-74.05710,2594.7000
MEDIDA:,0,0,947,384,19/9/2017,21:45:38.00,4.660138,-74.05707,2594.2000
MEDIDA:,0,0,947,415,19/9/2017,21:45:39.00,4.660114,-74.05705,2594.5000
MEDIDA:,0,0,947,492,19/9/2017,21:45:40.00,4.660099,-74.05703,2595.5000
MEDIDA:,0,0,2903,486,19/9/2017,21:45:41.00,4.660081,-74.05701,2595.4000
MEDIDA:,0,0,2903,762,19/9/2017,21:45:42.00,4.660065,-74.05699,2595.1000
MEDIDA:,0,0,1839,644,19/9/2017,21:45:43.00,4.660049,-74.05699,2595.2000
MEDIDA:,0,0,1557,550,19/9/2017,21:45:44.00,4.660034,-74.05699,2594.8000
MEDIDA:,0,0,1557,481,19/9/2017,21:45:45.00,4.660019,-74.05700,2595.1000
MEDIDA:,0,0,1231,424,19/9/2017,21:45:46.00,4.659995,-74.05700,2595.0000
MEDIDA:,0,0,1083,387,19/9/2017,21:45:47.00,4.659969,-74.05701,2594.5000
MEDIDA:,0,0,987,372,19/9/2017,21:45:48.00,4.659948,-74.05703,2594.2000
MEDIDA:,0,0,928,360,19/9/2017,21:45:49.00,4.659919,-74.05704,2593.7000
MEDIDA:,0,0,881,344,19/9/2017,21:45:50.00,4.659893,-74.05705,2593.9000
MEDIDA:,0,0,876,344,19/9/2017,21:45:51.00,4.659865,-74.05706,2593.8000
MEDIDA:,0,0,860,336,19/9/2017,21:45:52.00,4.659837,-74.05708,2594.1000
MEDIDA:,0,0,861,340,19/9/2017,21:45:53.00,4.659805,-74.05709,2595.2000
MEDIDA:,0,0,855,331,19/9/2017,21:45:54.00,4.659775,-74.05710,2595.0000
MEDIDA:,0,0,834,329,19/9/2017,21:45:55.00,4.659748,-74.05712,2595.6000
MEDIDA:,0,0,845,328,19/9/2017,21:45:56.00,4.659719,-74.05714,2596.0000
