HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,0,0,0,359,24/9/2017,16:59:29.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,364,24/9/2017,16:59:30.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,377,24/9/2017,16:59:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,387,24/9/2017,16:59:32.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,4130,377,24/9/2017,16:59:33.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1104,370,24/9/2017,16:59:34.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1078,364,24/9/2017,16:59:35.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1066,363,24/9/2017,16:59:36.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1057,363,24/9/2017,16:59:37.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1062,365,24/9/2017,16:59:38.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1067,363,24/9/2017,16:59:39.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1067,360,24/9/2017,16:59:40.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1051,359,24/9/2017,16:59:41.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1054,362,24/9/2017,16:59:42.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1057,361,24/9/2017,16:59:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1056,367,24/9/2017,16:59:44.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1070,363,24/9/2017,16:59:45.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1069,362,24/9/2017,16:59:46.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1059,362,24/9/2017,16:59:47.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1065,359,24/9/2017,16:59:48.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1061,357,24/9/2017,16:59:49.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1060,361,24/9/2017,16:59:50.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1061,360,24/9/2017,16:59:51.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1049,354,24/9/2017,16:59:52.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1038,352,24/9/2017,16:59:53.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1023,351,24/9/2017,16:59:54.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1017,348,24/9/2017,16:59:55.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1014,342,24/9/2017,16:59:56.00,0.000000,0.000000,0.000000
