type,latitude,longitude,altitude (m),name
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,4.730773,-74.05144,2558.6,
T,4.730767,-74.05138,2558.5,
T,4.730762,-74.05134,2558.5,
T,4.730753,-74.05131,2558.4,
T,4.730745,-74.05127,2558.4,
T,4.730737,-74.05123,2558.4,
T,4.730733,-74.05119,2558.3,
T,4.730727,-74.05115,2558.3,
T,4.730718,-74.05111,2558.3,
T,4.730712,-74.05107,2558.3,
T,4.730703,-74.05103,2558.2,
T,4.730697,-74.05099,2558.2,
T,4.73069,-74.05095,2558.2,
T,4.730685,-74.05091,2558.2,
T,4.730677,-74.05086,2558.2,
T,4.730667,-74.05082,2558.1,
T,4.730657,-74.05078,2558,
T,4.73065,-74.05073,2557.7,
T,4.730642,-74.05069,2557.5,
T,4.730633,-74.05064,2557.3,
T,4.730627,-74.0506,2557.1,
T,4.730617,-74.05056,2556.9,
T,4.730607,-74.05051,2556.7,
T,4.730598,-74.05047,2556.5,
T,4.730593,-74.05042,2556.3,
T,4.730583,-74.05038,2556.1,
T,4.730563,-74.05033,2555.9,
