HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
STOP
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1894,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1894,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1894,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,2860,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,2860,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,2860,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,3539,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,3539,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,3539,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,2780,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,2780,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,2780,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,2780,0/0/2000,12:19:02.00,0.000000,0.000000,0.000000
STOP
MEDIDA:,0,0,0,0,0/0/2000,12:19:08.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,12:19:09.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,12:19:10.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,2930,0/0/2000,12:19:11.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1351,0/0/2000,12:19:12.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1351,0/0/2000,12:19:13.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,3596,1349,0/0/2000,12:19:14.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,3596,1019,0/0/2000,12:19:15.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1576,710,0/0/2000,12:19:16.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1204,666,0/0/2000,12:19:17.00,0.000000,0.000000,0.000000
