HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,20:35:41.67,0.000000,0.000000,0.000000
STOP
MEDIDA:,0,0,0,0,10/10/2017,10:39:08.00,4.666500,-74.07051,2590.0000
MEDIDA:,0,0,0,0,10/10/2017,10:39:09.00,4.666499,-74.07051,2589.6000
MEDIDA:,0,0,0,0,10/10/2017,10:39:10.00,4.666502,-74.07051,2588.7000
MEDIDA:,0,0,0,0,10/10/2017,10:39:11.00,4.666505,-74.07051,2587.7000
STOP
MEDIDA:,0,0,0,0,10/10/2017,10:39:31.00,4.666516,-74.07055,2582.7000
MEDIDA:,0,0,0,895,10/10/2017,10:39:32.00,4.666517,-74.07056,2582.4000
MEDIDA:,0,0,0,947,10/10/2017,10:39:33.00,4.666518,-74.07057,2581.5000
MEDIDA:,0,0,0,952,10/10/2017,10:39:34.00,4.666508,-74.07058,2580.9000
MEDIDA:,0,0,0,767,10/10/2017,10:39:35.00,4.666497,-74.07058,2581.8000
MEDIDA:,0,0,0,671,10/10/2017,10:39:36.00,4.666481,-74.07059,2583.0000
MEDIDA:,0,0,0,634,10/10/2017,10:39:37.00,4.666462,-74.07060,2584.1000
MEDIDA:,0,0,0,576,10/10/2017,10:39:38.00,4.666446,-74.07061,2585.8000
MEDIDA:,0,0,0,533,10/10/2017,10:39:39.00,4.666426,-74.07062,2586.2000
MEDIDA:,0,0,0,527,10/10/2017,10:39:40.00,4.666405,-74.07064,2587.4000
MEDIDA:,0,0,0,547,10/10/2017,10:39:41.00,4.666386,-74.07065,2589.4000
MEDIDA:,0,0,0,519,10/10/2017,10:39:42.00,4.666363,-74.07067,2590.1000
MEDIDA:,0,0,0,516,10/10/2017,10:39:43.00,4.666337,-74.07069,2589.9000
MEDIDA:,0,0,0,528,10/10/2017,10:39:44.00,4.666317,-74.07070,2591.1000
MEDIDA:,0,0,0,541,10/10/2017,10:39:45.00,4.666291,-74.07072,2591.0000
MEDIDA:,0,0,0,567,10/10/2017,10:39:46.00,4.666270,-74.07073,2591.8000
MEDIDA:,0,0,0,569,10/10/2017,10:39:47.00,4.666246,-74.07075,2591.6000
MEDIDA:,0,0,0,537,10/10/2017,10:39:48.00,4.666219,-74.07076,2590.7000
MEDIDA:,0,0,0,527,10/10/2017,10:39:49.00,4.666191,-74.07078,2589.7000
MEDIDA:,0,0,0,544,10/10/2017,10:39:50.00,4.666164,-74.07079,2590.2000
