HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,0,0,0,512,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1422,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,893,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,693,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,732,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,797,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,809,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,848,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,916,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,955,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,667,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,560,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,452,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,411,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,360,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,381,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,463,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,554,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,634,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,738,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1000,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1291,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,885,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,762,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,812,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,838,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,730,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,654,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,681,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,733,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,761,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
