HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,11:01:59.23,0.000000,0.000000,0.000000
STOP
MEDIDA:,0,0,0,0,0/0/2000,11:02:05.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,11:02:06.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,11:02:07.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,0,0/0/2000,11:02:08.00,0.000000,0.000000,0.000000
STOP
MEDIDA:,0,0,0,0,19/9/2017,11:02:18.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,525,19/9/2017,11:02:19.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,535,19/9/2017,11:02:20.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,731,19/9/2017,11:02:21.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,779,19/9/2017,11:02:22.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1101,19/9/2017,11:02:23.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1101,19/9/2017,11:02:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1101,19/9/2017,11:02:25.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1101,19/9/2017,11:02:26.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,3354,19/9/2017,11:02:27.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,3354,19/9/2017,11:02:28.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,3354,19/9/2017,11:02:29.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,3354,19/9/2017,11:02:30.00,0.000000,0.000000,0.000000
STOP
MEDIDA:,0,0,0,451,19/9/2017,11:02:59.00,4.726644,-74.03475,2573.7000
MEDIDA:,0,0,841,433,19/9/2017,11:03:00.00,4.726653,-74.03479,2574.1000
MEDIDA:,0,0,807,424,19/9/2017,11:03:01.00,4.726669,-74.03483,2573.9000
MEDIDA:,0,0,807,426,19/9/2017,11:03:02.00,4.726691,-74.03486,2573.9000
MEDIDA:,0,0,784,412,19/9/2017,11:03:03.00,4.726714,-74.03490,2573.5000
MEDIDA:,0,0,764,405,19/9/2017,11:03:04.00,4.726735,-74.03494,2573.1000
MEDIDA:,0,0,739,385,19/9/2017,11:03:05.00,4.726756,-74.03498,2572.6000
