HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,0,0,0,363,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,691,364,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,684,363,0/0/2000,11:25:41.50,0.000000,0.000000,0.000000
MEDIDA:,0,0,684,376,0/0/2000,11:25:41.50,0.000000,0.000000,0.000000
MEDIDA:,0,0,1945,382,0/0/2000,11:25:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,715,380,0/0/2000,11:25:44.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,719,380,0/0/2000,11:25:45.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,712,382,0/0/2000,11:25:46.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,712,398,21/9/2017,11:25:47.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,712,411,21/9/2017,11:25:48.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,712,429,21/9/2017,11:25:49.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,434,21/9/2017,11:25:50.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,493,21/9/2017,11:25:51.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,537,21/9/2017,11:25:52.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,682,21/9/2017,11:25:53.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,805,21/9/2017,11:25:54.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,805,21/9/2017,11:25:55.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,805,21/9/2017,11:25:56.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,805,21/9/2017,11:25:57.00,0.000000,0.000000,0.000000
STOP
MEDIDA:,0,0,0,0,21/9/2017,11:26:30.00,4.724203,-74.04617,2574.1000
MEDIDA:,0,0,0,690,21/9/2017,11:26:31.00,4.724185,-74.04617,2573.8000
MEDIDA:,0,0,1224,597,21/9/2017,11:26:32.00,4.724158,-74.04618,2573.9000
MEDIDA:,0,0,1076,519,21/9/2017,11:26:33.00,4.724128,-74.04618,2574.1000
MEDIDA:,0,0,947,469,21/9/2017,11:26:34.00,4.724092,-74.04619,2574.2000
MEDIDA:,0,0,892,499,21/9/2017,11:26:35.00,4.724054,-74.04619,2574.4000
MEDIDA:,0,0,937,474,21/9/2017,11:26:36.00,4.724018,-74.04620,2574.4000
MEDIDA:,0,0,844,440,21/9/2017,11:26:37.00,4.723981,-74.04620,2574.4000
MEDIDA:,0,0,802,420,21/9/2017,11:26:38.00,4.723941,-74.04621,2574.5000
MEDIDA:,0,0,784,414,21/9/2017,11:26:39.00,4.723899,-74.04622,2574.4000
MEDIDA:,0,0,766,405,21/9/2017,11:26:40.00,4.723856,-74.04623,2573.9000
MEDIDA:,0,0,753,393,21/9/2017,11:26:41.00,4.723816,-74.04623,2574.2000
MEDIDA:,0,0,741,390,21/9/2017,11:26:42.00,4.723772,-74.04624,2574.3000
MEDIDA:,0,0,735,389,21/9/2017,11:26:43.00,4.723730,-74.04625,2574.5000
MEDIDA:,0,0,733,384,21/9/2017,11:26:44.00,4.723686,-74.04626,2575.0000
MEDIDA:,0,0,719,382,21/9/2017,11:26:45.00,4.723641,-74.04626,2575.3000
MEDIDA:,0,0,705,372,21/9/2017,11:26:46.00,4.723593,-74.04627,2575.4000
MEDIDA:,0,0,705,378,21/9/2017,11:26:47.00,4.723547,-74.04628,2575.5000
MEDIDA:,0,0,1969,356,21/9/2017,11:26:48.00,4.723501,-74.04628,2575.5000
MEDIDA:,0,0,1234,342,21/9/2017,11:26:49.00,4.723453,-74.04629,2575.7000
MEDIDA:,0,0,636,348,21/9/2017,11:26:50.00,4.723401,-74.04630,2575.6000
MEDIDA:,0,0,647,340,21/9/2017,11:26:51.00,4.723349,-74.04631,2575.6000
MEDIDA:,0,0,647,385,21/9/2017,11:26:52.00,4.723297,-74.04632,2575.2000
MEDIDA:,0,0,704,370,21/9/2017,11:26:53.00,4.723245,-74.04632,2574.5000
MEDIDA:,0,0,674,355,21/9/2017,11:26:54.00,4.723193,-74.04633,2573.7000
MEDIDA:,0,0,661,346,21/9/2017,11:26:55.00,4.723144,-74.04634,2573.7000
MEDIDA:,0,0,649,348,21/9/2017,11:26:56.00,4.723093,-74.04635,2573.8000
MEDIDA:,0,0,659,347,21/9/2017,11:26:57.00,4.723042,-74.04635,2574.1000
MEDIDA:,0,0,649,349,21/9/2017,11:26:58.00,4.722990,-74.04636,2573.8000
MEDIDA:,0,0,1173,355,21/9/2017,11:26:59.00,4.722938,-74.04637,2573.7000
MEDIDA:,0,0,665,353,21/9/2017,11:27:00.00,4.722888,-74.04637,2574.3000
MEDIDA:,0,0,671,353,21/9/2017,11:27:01.00,4.722836,-74.04638,2573.9000
MEDIDA:,0,0,671,362,21/9/2017,11:27:02.00,4.722787,-74.04638,2574.0000
MEDIDA:,0,0,679,355,21/9/2017,11:27:03.00,4.722740,-74.04639,2574.3000
MEDIDA:,0,0,663,353,21/9/2017,11:27:04.00,4.722690,-74.04640,2574.4000
MEDIDA:,0,0,655,344,21/9/2017,11:27:05.00,4.722637,-74.04641,2574.4000
MEDIDA:,0,0,637,338,21/9/2017,11:27:06.00,4.722584,-74.04641,2574.7000
MEDIDA:,0,0,638,333,21/9/2017,11:27:07.00,4.722531,-74.04642,2574.6000
MEDIDA:,0,0,634,336,21/9/2017,11:27:08.00,4.722479,-74.04643,2574.7000
MEDIDA:,0,0,628,336,21/9/2017,11:27:09.00,4.722427,-74.04644,2574.7000
MEDIDA:,0,0,1662,351,21/9/2017,11:27:10.00,4.722375,-74.04645,2574.8000
MEDIDA:,0,0,648,340,21/9/2017,11:27:11.00,4.722324,-74.04645,2574.9000
MEDIDA:,0,0,643,338,21/9/2017,11:27:12.00,4.722271,-74.04646,2574.7000
MEDIDA:,0,0,643,337,21/9/2017,11:27:13.00,4.722219,-74.04647,2574.4000
MEDIDA:,0,0,630,332,21/9/2017,11:27:14.00,4.722166,-74.04647,2574.2000
MEDIDA:,0,0,625,332,21/9/2017,11:27:15.00,4.722111,-74.04648,2574.1000
MEDIDA:,0,0,633,329,21/9/2017,11:27:16.00,4.722055,-74.04649,2573.9000
MEDIDA:,0,0,633,333,21/9/2017,11:27:17.00,4.722001,-74.04650,2573.9000
MEDIDA:,0,0,633,337,21/9/2017,11:27:18.00,4.721947,-74.04651,2573.9000
MEDIDA:,0,0,1742,339,21/9/2017,11:27:19.00,4.721893,-74.04652,2573.9000
MEDIDA:,0,0,633,341,21/9/2017,11:27:20.00,4.721837,-74.04652,2572.6000
MEDIDA:,0,0,1503,343,21/9/2017,11:27:21.00,4.721785,-74.04653,2572.5000
MEDIDA:,0,0,645,343,21/9/2017,11:27:22.00,4.721735,-74.04654,2572.9000
MEDIDA:,0,0,653,343,21/9/2017,11:27:23.00,4.721684,-74.04655,2573.1000
MEDIDA:,0,0,642,338,21/9/2017,11:27:24.00,4.721631,-74.04656,2573.1000
MEDIDA:,0,0,646,338,21/9/2017,11:27:25.00,4.721579,-74.04656,2573.5000
MEDIDA:,0,0,632,340,21/9/2017,11:27:26.00,4.721526,-74.04657,2573.7000
MEDIDA:,0,0,641,337,21/9/2017,11:27:27.00,4.721474,-74.04658,2573.8000
MEDIDA:,0,0,634,332,21/9/2017,11:27:28.00,4.721420,-74.04658,2573.8000
MEDIDA:,0,0,638,335,21/9/2017,11:27:29.00,4.721368,-74.04659,2574.0000
MEDIDA:,0,0,638,343,21/9/2017,11:27:30.00,4.721316,-74.04660,2573.9000
MEDIDA:,0,0,638,351,21/9/2017,11:27:31.00,4.721264,-74.04661,2573.9000
MEDIDA:,0,0,638,358,21/9/2017,11:27:32.00,4.721213,-74.04661,2574.0000
MEDIDA:,0,0,672,352,21/9/2017,11:27:33.00,4.721162,-74.04662,2573.8000
MEDIDA:,0,0,657,352,21/9/2017,11:27:34.00,4.721112,-74.04663,2573.8000
MEDIDA:,0,0,657,364,21/9/2017,11:27:35.00,4.721063,-74.04664,2574.1000
MEDIDA:,0,0,657,372,21/9/2017,11:27:36.00,4.721014,-74.04665,2574.2000
MEDIDA:,0,0,657,380,21/9/2017,11:27:37.00,4.720967,-74.04665,2574.2000
MEDIDA:,0,0,0,462,21/9/2017,11:27:38.00,4.720921,-74.04666,2574.0000
MEDIDA:,0,0,0,499,21/9/2017,11:27:39.00,4.720881,-74.04666,2574.0000
MEDIDA:,0,0,0,514,21/9/2017,11:27:40.00,4.720845,-74.04667,2574.1000
MEDIDA:,0,0,0,526,21/9/2017,11:27:41.00,4.720810,-74.04667,2574.0000
MEDIDA:,0,0,0,530,21/9/2017,11:27:42.00,4.720776,-74.04668,2574.3000
MEDIDA:,0,0,0,586,21/9/2017,11:27:43.00,4.720742,-74.04668,2574.2000
MEDIDA:,0,0,0,687,21/9/2017,11:27:44.00,4.720715,-74.04669,2574.2000
MEDIDA:,0,0,0,1064,21/9/2017,11:27:45.00,4.720696,-74.04669,2574.0000
MEDIDA:,0,0,0,1064,21/9/2017,11:27:46.00,4.720684,-74.04670,2573.8000
MEDIDA:,0,0,0,2118,21/9/2017,11:27:47.00,4.720677,-74.04670,2573.8000
MEDIDA:,0,0,0,2118,21/9/2017,11:27:48.00,4.720672,-74.04670,2573.7000
MEDIDA:,0,0,0,2118,21/9/2017,11:27:49.00,4.720670,-74.04670,2573.8000
MEDIDA:,0,0,0,2118,21/9/2017,11:27:50.00,4.720671,-74.04670,2573.6000
STOP
MEDIDA:,0,0,0,0,21/9/2017,11:28:31.00,4.720569,-74.04670,2573.9000
MEDIDA:,0,0,0,466,21/9/2017,11:28:32.00,4.720533,-74.04670,2573.6000
MEDIDA:,0,0,837,442,21/9/2017,11:28:33.00,4.720494,-74.04671,2573.3000
MEDIDA:,0,0,806,415,21/9/2017,11:28:34.00,4.720453,-74.04671,2573.1000
MEDIDA:,0,0,744,373,21/9/2017,11:28:35.00,4.720408,-74.04672,2572.6000
MEDIDA:,0,0,708,412,21/9/2017,11:28:36.00,4.720362,-74.04673,2572.8000
MEDIDA:,0,0,1623,409,21/9/2017,11:28:37.00,4.720319,-74.04674,2572.5000
MEDIDA:,0,0,760,399,21/9/2017,11:28:38.00,4.720275,-74.04675,2572.4000
MEDIDA:,0,0,745,392,21/9/2017,11:28:39.00,4.720230,-74.04675,2572.4000
MEDIDA:,0,0,742,387,21/9/2017,11:28:40.00,4.720183,-74.04676,2572.1000
MEDIDA:,0,0,725,384,21/9/2017,11:28:41.00,4.720136,-74.04677,2572.0000
MEDIDA:,0,0,724,381,21/9/2017,11:28:42.00,4.720092,-74.04678,2572.1000
MEDIDA:,0,0,720,385,21/9/2017,11:28:43.00,4.720050,-74.04678,2572.6000
MEDIDA:,0,0,718,382,21/9/2017,11:28:44.00,4.720004,-74.04679,2572.8000
MEDIDA:,0,0,722,379,21/9/2017,11:28:45.00,4.719953,-74.04680,2572.3000
MEDIDA:,0,0,712,381,21/9/2017,11:28:46.00,4.719906,-74.04680,2572.4000
MEDIDA:,0,0,703,363,21/9/2017,11:28:47.00,4.719864,-74.04681,2573.2000
MEDIDA:,0,0,676,352,21/9/2017,11:28:48.00,4.719814,-74.04681,2573.2000
MEDIDA:,0,0,647,337,21/9/2017,11:28:49.00,4.719762,-74.04682,2573.1000
MEDIDA:,0,0,637,334,21/9/2017,11:28:50.00,4.719708,-74.04682,2572.9000
MEDIDA:,0,0,623,327,21/9/2017,11:28:51.00,4.719654,-74.04683,2573.0000
MEDIDA:,0,0,611,326,21/9/2017,11:28:52.00,4.719595,-74.04683,2572.4000
MEDIDA:,0,0,622,326,21/9/2017,11:28:53.00,4.719540,-74.04684,2572.2000
MEDIDA:,0,0,1137,333,21/9/2017,11:28:54.00,4.719486,-74.04685,2572.1000
MEDIDA:,0,0,626,334,21/9/2017,11:28:55.00,4.719433,-74.04686,2572.1000
MEDIDA:,0,0,622,336,21/9/2017,11:28:56.00,4.719380,-74.04687,2572.1000
MEDIDA:,0,0,1571,342,21/9/2017,11:28:57.00,4.719328,-74.04688,2572.2000
MEDIDA:,0,0,636,336,21/9/2017,11:28:58.00,4.719278,-74.04688,2572.5000
MEDIDA:,0,0,633,333,21/9/2017,11:28:59.00,4.719226,-74.04689,2572.7000
MEDIDA:,0,0,1231,346,21/9/2017,11:29:00.00,4.719173,-74.04690,2573.0000
MEDIDA:,0,0,647,346,21/9/2017,11:29:01.00,4.719120,-74.04691,2572.9000
MEDIDA:,0,0,671,351,21/9/2017,11:29:02.00,4.719069,-74.04692,2573.1000
MEDIDA:,0,0,660,350,21/9/2017,11:29:03.00,4.719018,-74.04693,2573.0000
MEDIDA:,0,0,1107,354,21/9/2017,11:29:04.00,4.718968,-74.04693,2572.9000
MEDIDA:,0,0,661,351,21/9/2017,11:29:05.00,4.718918,-74.04694,2573.1000
MEDIDA:,0,0,657,344,21/9/2017,11:29:06.00,4.718862,-74.04695,2572.4000
MEDIDA:,0,0,642,340,21/9/2017,11:29:07.00,4.718818,-74.04696,2573.6000
MEDIDA:,0,0,640,334,21/9/2017,11:29:08.00,4.718769,-74.04696,2574.0000
MEDIDA:,0,0,625,339,21/9/2017,11:29:09.00,4.718718,-74.04697,2574.3000
MEDIDA:,0,0,625,347,21/9/2017,11:29:10.00,4.718668,-74.04697,2574.7000
MEDIDA:,0,0,660,347,21/9/2017,11:29:11.00,4.718621,-74.04698,2575.0000
