HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,3686,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,3686,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,3686,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,3686,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
STOP
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,1046,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,2114,1168,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,2114,1294,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,2114,1294,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,2114,1454,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,1817,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,1817,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,1817,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,1817,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,1817,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
STOP
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,703,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,688,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,745,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,841,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,683,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,561,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,1327,492,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,1139,438,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,1012,399,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,949,387,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,889,371,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,853,362,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,842,357,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,815,343,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,798,332,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,763,319,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,750,313,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
