HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,0,0,0,354,22/9/2017,23:14:24.00,4.645123,-74.08426,2570.4000
MEDIDA:,0,0,0,335,22/9/2017,23:14:25.00,4.645090,-74.08428,2570.3000
MEDIDA:,0,0,1150,335,22/9/2017,23:14:26.00,4.645061,-74.08430,2570.2000
MEDIDA:,0,0,1124,318,22/9/2017,23:14:27.00,4.645031,-74.08433,2570.6000
MEDIDA:,0,0,1084,309,22/9/2017,23:14:28.00,4.644999,-74.08436,2570.6000
MEDIDA:,0,0,1049,302,22/9/2017,23:14:29.00,4.644966,-74.08438,2570.8000
MEDIDA:,0,0,1031,297,22/9/2017,23:14:30.00,4.644931,-74.08441,2571.0000
MEDIDA:,0,0,1028,295,22/9/2017,23:14:31.00,4.644899,-74.08444,2571.3000
MEDIDA:,0,0,1016,295,22/9/2017,23:14:32.00,4.644869,-74.08447,2571.2000
MEDIDA:,0,0,1005,291,22/9/2017,23:14:33.00,4.644837,-74.08450,2570.6000
MEDIDA:,0,0,992,288,22/9/2017,23:14:34.00,4.644806,-74.08453,2570.8000
MEDIDA:,0,0,983,284,22/9/2017,23:14:35.00,4.644780,-74.08456,2569.7000
MEDIDA:,0,0,974,286,22/9/2017,23:14:36.00,4.644750,-74.08459,2569.4000
MEDIDA:,0,0,966,281,22/9/2017,23:14:37.00,4.644715,-74.08462,2569.7000
MEDIDA:,0,0,960,277,22/9/2017,23:14:38.00,4.644680,-74.08465,2570.2000
MEDIDA:,0,0,948,274,22/9/2017,23:14:39.00,4.644646,-74.08468,2572.1000
MEDIDA:,0,0,939,272,22/9/2017,23:14:40.00,4.644613,-74.08471,2572.2000
MEDIDA:,0,0,929,269,22/9/2017,23:14:41.00,4.644583,-74.08474,2572.9000
MEDIDA:,0,0,924,266,22/9/2017,23:14:42.00,4.644549,-74.08476,2572.8000
MEDIDA:,0,0,916,266,22/9/2017,23:14:43.00,4.644513,-74.08480,2572.7000
MEDIDA:,0,0,919,268,22/9/2017,23:14:44.00,4.644470,-74.08483,2572.6000
MEDIDA:,0,0,915,268,22/9/2017,23:14:45.00,4.644430,-74.08486,2573.0000
MEDIDA:,0,0,918,266,22/9/2017,23:14:46.00,4.644392,-74.08489,2573.1000
MEDIDA:,0,0,912,264,22/9/2017,23:14:47.00,4.644356,-74.08491,2573.9000
MEDIDA:,0,0,894,260,22/9/2017,23:14:48.00,4.644320,-74.08495,2574.4000
MEDIDA:,0,0,880,260,22/9/2017,23:14:49.00,4.644285,-74.08499,2574.0000
MEDIDA:,0,0,877,256,22/9/2017,23:14:50.00,4.644248,-74.08503,2573.8000
MEDIDA:,0,0,873,256,22/9/2017,23:14:51.00,4.644211,-74.08507,2573.1000
MEDIDA:,0,0,869,256,22/9/2017,23:14:52.00,4.644171,-74.08511,2572.3000
MEDIDA:,0,0,872,257,22/9/2017,23:14:53.00,4.644138,-74.08514,2570.8000
MEDIDA:,0,0,872,255,22/9/2017,23:14:54.00,4.644102,-74.08518,2570.3000
MEDIDA:,0,0,881,255,22/9/2017,23:14:55.00,4.644067,-74.08521,2570.4000
MEDIDA:,0,0,867,254,22/9/2017,23:14:56.00,4.644031,-74.08524,2570.8000
MEDIDA:,0,0,868,253,22/9/2017,23:14:57.00,4.643995,-74.08527,2570.9000
MEDIDA:,0,0,869,255,22/9/2017,23:14:58.00,4.643952,-74.08531,2572.1000
MEDIDA:,0,0,865,254,22/9/2017,23:14:59.00,4.643910,-74.08534,2571.7000
MEDIDA:,0,0,874,256,22/9/2017,23:15:00.00,4.643871,-74.08538,2570.9000
MEDIDA:,0,0,875,255,22/9/2017,23:15:01.00,4.643832,-74.08542,2570.5000
MEDIDA:,0,0,870,254,22/9/2017,23:15:02.00,4.643791,-74.08545,2570.7000
MEDIDA:,0,0,865,253,22/9/2017,23:15:03.00,4.643749,-74.08549,2571.9000
MEDIDA:,0,0,860,251,22/9/2017,23:15:04.00,4.643709,-74.08553,2574.3000
MEDIDA:,0,0,854,247,22/9/2017,23:15:05.00,4.643673,-74.08557,2575.0000
MEDIDA:,0,0,849,249,22/9/2017,23:15:06.00,4.643633,-74.08560,2576.3000
MEDIDA:,0,0,851,249,22/9/2017,23:15:07.00,4.643597,-74.08562,2578.0000
MEDIDA:,0,0,849,248,22/9/2017,23:15:08.00,4.643559,-74.08565,2579.6000
MEDIDA:,0,0,859,249,22/9/2017,23:15:09.00,4.643520,-74.08568,2580.4000
MEDIDA:,0,0,853,250,22/9/2017,23:15:10.00,4.643482,-74.08571,2582.4000
MEDIDA:,0,0,854,250,22/9/2017,23:15:11.00,4.643439,-74.08574,2582.5000
MEDIDA:,0,0,853,248,22/9/2017,23:15:12.00,4.643396,-74.08578,2581.5000
MEDIDA:,0,0,854,248,22/9/2017,23:15:13.00,4.643357,-74.08583,2580.6000
MEDIDA:,0,0,845,246,22/9/2017,23:15:14.00,4.643315,-74.08587,2580.9000
MEDIDA:,0,0,842,244,22/9/2017,23:15:15.00,4.643271,-74.08590,2582.6000
MEDIDA:,0,0,833,245,22/9/2017,23:15:16.00,4.643231,-74.08593,2581.9000
MEDIDA:,0,0,831,242,22/9/2017,23:15:17.00,4.643198,-74.08597,2579.2000
MEDIDA:,0,0,832,244,22/9/2017,23:15:18.00,4.643157,-74.08601,2579.0000
MEDIDA:,0,0,832,241,22/9/2017,23:15:19.00,4.643121,-74.08606,2576.9000
MEDIDA:,0,0,829,239,22/9/2017,23:15:20.00,4.643080,-74.08610,2576.0000
MEDIDA:,0,0,814,238,22/9/2017,23:15:21.00,4.643036,-74.08614,2576.2000
MEDIDA:,0,0,813,235,22/9/2017,23:15:22.00,4.642993,-74.08618,2576.5000
MEDIDA:,0,0,802,235,22/9/2017,23:15:23.00,4.642953,-74.08622,2575.8000
MEDIDA:,0,0,805,233,22/9/2017,23:15:24.00,4.642912,-74.08626,2574.8000
MEDIDA:,0,0,801,233,22/9/2017,23:15:25.00,4.642869,-74.08630,2574.4000
MEDIDA:,0,0,793,233,22/9/2017,23:15:26.00,4.642822,-74.08633,2577.3000
MEDIDA:,0,0,799,234,22/9/2017,23:15:27.00,4.642783,-74.08637,2577.0000
MEDIDA:,0,0,795,233,22/9/2017,23:15:28.00,4.642737,-74.08641,2578.3000
MEDIDA:,0,0,812,236,22/9/2017,23:15:29.00,4.642691,-74.08645,2579.1000
MEDIDA:,0,0,808,239,22/9/2017,23:15:30.00,4.642648,-74.08649,2578.6000
MEDIDA:,0,0,819,240,22/9/2017,23:15:31.00,4.642609,-74.08652,2578.0000
MEDIDA:,0,0,827,242,22/9/2017,23:15:32.00,4.642571,-74.08656,2577.1000
MEDIDA:,0,0,827,242,22/9/2017,23:15:33.00,4.642532,-74.08660,2577.0000
MEDIDA:,0,0,842,244,22/9/2017,23:15:34.00,4.642491,-74.08665,2576.7000
MEDIDA:,0,0,833,243,22/9/2017,23:15:35.00,4.642449,-74.08669,2576.7000
MEDIDA:,0,0,830,241,22/9/2017,23:15:36.00,4.642406,-74.08672,2576.4000
MEDIDA:,0,0,829,243,22/9/2017,23:15:37.00,4.642365,-74.08676,2575.9000
MEDIDA:,0,0,828,241,22/9/2017,23:15:38.00,4.642324,-74.08680,2576.1000
MEDIDA:,0,0,835,241,22/9/2017,23:15:39.00,4.642283,-74.08684,2576.1000
MEDIDA:,0,0,824,239,22/9/2017,23:15:40.00,4.642240,-74.08687,2575.9000
MEDIDA:,0,0,818,237,22/9/2017,23:15:41.00,4.642199,-74.08691,2576.0000
MEDIDA:,0,0,807,235,22/9/2017,23:15:42.00,4.642157,-74.08694,2576.4000
MEDIDA:,0,0,802,233,22/9/2017,23:15:43.00,4.642115,-74.08698,2577.3000
MEDIDA:,0,0,801,231,22/9/2017,23:15:44.00,4.642074,-74.08702,2578.1000
MEDIDA:,0,0,792,231,22/9/2017,23:15:45.00,4.642027,-74.08705,2578.7000
MEDIDA:,0,0,792,232,22/9/2017,23:15:46.00,4.641986,-74.08708,2577.3000
MEDIDA:,0,0,794,234,22/9/2017,23:15:47.00,4.641945,-74.08711,2577.1000
MEDIDA:,0,0,810,235,22/9/2017,23:15:48.00,4.641904,-74.08714,2575.7000
MEDIDA:,0,0,800,233,22/9/2017,23:15:49.00,4.641860,-74.08717,2576.4000
MEDIDA:,0,0,801,235,22/9/2017,23:15:50.00,4.641820,-74.08720,2575.5000
MEDIDA:,0,0,806,238,22/9/2017,23:15:51.00,4.641779,-74.08723,2576.9000
MEDIDA:,0,0,806,243,22/9/2017,23:15:52.00,4.641737,-74.08727,2578.3000
MEDIDA:,0,0,806,247,22/9/2017,23:15:53.00,4.641698,-74.08732,2578.5000
MEDIDA:,0,0,806,263,22/9/2017,23:15:54.00,4.641661,-74.08736,2578.1000
MEDIDA:,0,0,0,281,22/9/2017,23:15:55.00,4.641625,-74.08740,2579.8000
MEDIDA:,0,0,0,288,22/9/2017,23:15:56.00,4.641599,-74.08744,2580.8000
MEDIDA:,0,0,916,297,22/9/2017,23:15:57.00,4.641584,-74.08747,2582.4000
MEDIDA:,0,0,1021,303,22/9/2017,23:15:58.00,4.641582,-74.08750,2583.5000
MEDIDA:,0,0,1032,300,22/9/2017,23:15:59.00,4.641591,-74.08754,2584.2000
MEDIDA:,0,0,1032,296,22/9/2017,23:16:00.00,4.641609,-74.08757,2585.3000
MEDIDA:,0,0,1008,297,22/9/2017,23:16:01.00,4.641621,-74.08761,2587.9000
MEDIDA:,0,0,1001,288,22/9/2017,23:16:02.00,4.641620,-74.08766,2589.5000
MEDIDA:,0,0,986,286,22/9/2017,23:16:03.00,4.641622,-74.08772,2585.1000
MEDIDA:,0,0,980,286,22/9/2017,23:16:04.00,4.641599,-74.08776,2585.8000
MEDIDA:,0,0,979,285,22/9/2017,23:16:05.00,4.641562,-74.08778,2587.3000
MEDIDA:,0,0,975,273,22/9/2017,23:16:06.00,4.641527,-74.08781,2589.8000
MEDIDA:,0,0,962,282,22/9/2017,23:16:07.00,4.641500,-74.08784,2589.4000
MEDIDA:,0,0,964,281,22/9/2017,23:16:08.00,4.641476,-74.08788,2587.8000
MEDIDA:,0,0,958,279,22/9/2017,23:16:09.00,4.641442,-74.08791,2589.6000
MEDIDA:,0,0,948,275,22/9/2017,23:16:10.00,4.641414,-74.08794,2589.2000
MEDIDA:,0,0,940,271,22/9/2017,23:16:11.00,4.641378,-74.08798,2588.9000
MEDIDA:,0,0,924,269,22/9/2017,23:16:12.00,4.641342,-74.08801,2589.2000
MEDIDA:,0,0,945,275,22/9/2017,23:16:13.00,4.641305,-74.08805,2588.4000
MEDIDA:,0,0,955,281,22/9/2017,23:16:14.00,4.641270,-74.08809,2586.5000
MEDIDA:,0,0,955,284,22/9/2017,23:16:15.00,4.641234,-74.08813,2585.4000
MEDIDA:,0,0,955,291,22/9/2017,23:16:16.00,4.641204,-74.08816,2585.1000
MEDIDA:,0,0,955,301,22/9/2017,23:16:17.00,4.641174,-74.08818,2585.2000
MEDIDA:,0,0,955,305,22/9/2017,23:16:18.00,4.641148,-74.08821,2586.7000
MEDIDA:,0,0,0,333,22/9/2017,23:16:19.00,4.641122,-74.08824,2588.1000
MEDIDA:,0,0,0,409,22/9/2017,23:16:20.00,4.641105,-74.08828,2588.2000
MEDIDA:,0,0,0,434,22/9/2017,23:16:21.00,4.641104,-74.08832,2585.8000
MEDIDA:,0,0,512,495,22/9/2017,23:16:22.00,4.641097,-74.08834,2585.9000
MEDIDA:,0,0,512,737,22/9/2017,23:16:23.00,4.641089,-74.08836,2586.9000
MEDIDA:,0,0,512,794,22/9/2017,23:16:24.00,4.641090,-74.08838,2588.3000
MEDIDA:,0,0,2769,860,22/9/2017,23:16:25.00,4.641101,-74.08838,2588.8000
MEDIDA:,0,0,2769,946,22/9/2017,23:16:26.00,4.641109,-74.08838,2590.2000
MEDIDA:,0,0,2769,946,22/9/2017,23:16:27.00,4.641112,-74.08839,2590.9000
MEDIDA:,0,0,2769,1725,22/9/2017,23:16:28.00,4.641114,-74.08839,2590.9000
MEDIDA:,0,0,0,1725,22/9/2017,23:16:29.00,4.641113,-74.08839,2591.9000
MEDIDA:,0,0,0,2407,22/9/2017,23:16:30.00,4.641114,-74.08840,2592.9000
MEDIDA:,0,0,0,1194,22/9/2017,23:16:31.00,4.641118,-74.08840,2593.4000
MEDIDA:,0,0,0,935,22/9/2017,23:16:32.00,4.641123,-74.08842,2592.5000
MEDIDA:,0,0,0,912,22/9/2017,23:16:33.00,4.641122,-74.08843,2592.4000
MEDIDA:,0,0,0,889,22/9/2017,23:16:34.00,4.641119,-74.08844,2592.9000
MEDIDA:,0,0,0,1049,22/9/2017,23:16:35.00,4.641114,-74.08845,2592.2000
MEDIDA:,0,0,0,1049,22/9/2017,23:16:36.00,4.641104,-74.08845,2591.4000
MEDIDA:,0,0,0,1049,22/9/2017,23:16:37.00,4.641101,-74.08845,2590.7000
MEDIDA:,0,0,0,1049,22/9/2017,23:16:38.00,4.641100,-74.08845,2589.9000
STOP
