V_Bat,I_Bat,Pedal_time(ms),Wheel_time(ms),GPS_date,GPS_time,GPS_lat,GPS_lng,Vbat(V),Ibat(A),BattPower(W),Energy(J),Speed(km/h),norm.Speed,distance from encoder(m),cadencia(RPM),Altitud (msnm),Potencia del ciclista (W),Energía del ciclista (J)
0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,0.0,0.0,0.0,0,17.703892611534837,0.989916837405302,0,0,2579.3199999999993,43.107012984919024,0
0,0,0,375,23/9/2017,03:28:04.00,4.616568,-74.15623,0.0,0.0,0.0,0.0,17.862994463239346,0.9988130505331448,4.9619429064553735,0,2579.3869999999993,107.46012131101814,107.46012131101814
0,0,1096,351,23/9/2017,03:28:05.00,4.616564,-74.15627,0.0,0.0,0.0,0.0,17.87899935189295,0.999707967210886,9.928331615314526,54.74452554744526,2579.445999999999,99.88980488785717,207.34992619887532
0,0,1036,337,23/9/2017,03:28:06.00,4.616559,-74.15631,0.0,0.0,0.0,0.0,17.883765474901534,0.9999744659701626,14.896044247231618,57.915057915057915,2579.504999999999,99.9158680127544,307.2657942116297
0,0,992,327,23/9/2017,03:28:07.00,4.616553,-74.15635,0.0,0.0,0.0,0.0,17.88422213116305,1.0,19.863883728110242,60.483870967741936,2579.561999999999,98.0268667452234,405.2926609568531
0,0,961,321,23/9/2017,03:28:08.00,4.616546,-74.15639,0.0,0.0,0.0,0.0,17.88137296446586,0.9998406882515609,24.830931773795204,62.434963579604585,2579.613999999999,93.28202941462838,498.5746903714815
0,0,946,322,23/9/2017,03:28:09.00,4.616539,-74.15643,0.0,0.0,0.0,0.0,17.876035829760273,0.999542261254488,29.796497282061946,63.42494714587738,2579.6589999999987,86.631654696672,585.2063450681535
0,0,944,316,23/9/2017,03:28:10.00,4.616533,-74.15647,0.0,0.0,0.0,0.0,17.869344822798062,0.9991681322086096,34.760204177283626,63.559322033898304,2579.699999999999,82.81088558419397,668.0172306523475
0,0,934,315,23/9/2017,03:28:11.00,4.616524,-74.15651,0.0,0.0,0.0,0.0,17.858694138957084,0.9985725970065266,39.72095254921615,64.23982869379016,2579.736999999999,78.96798619901384,746.9852168513613
0,0,925,311,23/9/2017,03:28:12.00,4.616516,-74.15655,0.0,0.0,0.0,0.0,17.83978891179494,0.9975155072978721,44.67644946915919,64.86486486486487,2579.767999999999,73.18776773714123,820.1729845885026
0,0,917,313,23/9/2017,03:28:13.00,4.616508,-74.15659,0.0,0.0,0.0,0.0,17.81252519252272,0.9959910507644949,49.62437313374883,65.43075245365323,2579.796999999999,71.14435997435285,891.3173445628554
0,0,935,313,23/9/2017,03:28:14.00,4.616500,-74.15663,0.0,0.0,0.0,0.0,17.78059189293363,0.994205493676527,54.563426437341505,64.1711229946524,2579.8199999999993,65.29169926668972,956.6090438295452
0,0,935,322,23/9/2017,03:28:15.00,4.616492,-74.15667,0.0,0.0,0.0,0.0,17.7479751661465,0.9923817226146425,59.493419539048865,64.1711229946524,2579.834,56.597539221348995,1013.2065830508941
0,0,0,345,23/9/2017,03:38:10.00,4.614309,-74.17505,0.0,0.0,0.0,0.0,17.722399097758306,0.9909516314314409,64.41630817731506,0,2579.845,53.61605230687859,1066.8226353577727
