HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,0,0,0,375,23/9/2017,03:28:04.00,4.616568,-74.15623,2574.6000
MEDIDA:,0,0,1096,351,23/9/2017,03:28:05.00,4.616564,-74.15627,2574.5000
MEDIDA:,0,0,1036,337,23/9/2017,03:28:06.00,4.616559,-74.15631,2574.2000
MEDIDA:,0,0,992,327,23/9/2017,03:28:07.00,4.616553,-74.15635,2574.1000
MEDIDA:,0,0,961,321,23/9/2017,03:28:08.00,4.616546,-74.15639,2573.9000
MEDIDA:,0,0,946,322,23/9/2017,03:28:09.00,4.616539,-74.15643,2573.5000
MEDIDA:,0,0,944,316,23/9/2017,03:28:10.00,4.616533,-74.15647,2573.5000
MEDIDA:,0,0,934,315,23/9/2017,03:28:11.00,4.616524,-74.15651,2573.5000
MEDIDA:,0,0,925,311,23/9/2017,03:28:12.00,4.616516,-74.15655,2573.8000
MEDIDA:,0,0,917,313,23/9/2017,03:28:13.00,4.616508,-74.15659,2573.9000
MEDIDA:,0,0,935,313,23/9/2017,03:28:14.00,4.616500,-74.15663,2574.2000
MEDIDA:,0,0,935,322,23/9/2017,03:28:15.00,4.616492,-74.15667,2574.1000
STOP
MEDIDA:,0,0,0,345,23/9/2017,03:38:10.00,4.614309,-74.17505,2576.1000
MEDIDA:,0,0,1006,336,23/9/2017,03:38:11.00,4.614285,-74.17508,2577.1000
MEDIDA:,0,0,980,326,23/9/2017,03:38:12.00,4.614261,-74.17510,2578.2000
MEDIDA:,0,0,957,323,23/9/2017,03:38:13.00,4.614234,-74.17512,2578.4000
MEDIDA:,0,0,945,316,23/9/2017,03:38:14.00,4.614206,-74.17515,2579.1000
MEDIDA:,0,0,930,312,23/9/2017,03:38:15.00,4.614178,-74.17518,2580.1000
MEDIDA:,0,0,914,304,23/9/2017,03:38:16.00,4.614150,-74.17520,2580.2000
MEDIDA:,0,0,900,304,23/9/2017,03:38:17.00,4.614123,-74.17523,2581.2000
MEDIDA:,0,0,883,299,23/9/2017,03:38:18.00,4.614095,-74.17526,2581.5000
MEDIDA:,0,0,871,293,23/9/2017,03:38:19.00,4.614065,-74.17529,2581.9000
MEDIDA:,0,0,867,297,23/9/2017,03:38:20.00,4.614043,-74.17533,2582.2000
MEDIDA:,0,0,869,291,23/9/2017,03:38:21.00,4.614021,-74.17537,2581.6000
MEDIDA:,0,0,853,289,23/9/2017,03:38:22.00,4.613995,-74.17540,2582.5000
