HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,0,0,0,0,25/4/2017,22:10:50.00,4.661978,-74.05813,2579.6000
MEDIDA:,0,0,0,0,25/4/2017,22:10:51.00,4.661980,-74.05808,2581.7000
MEDIDA:,0,0,0,0,25/4/2017,22:10:52.00,4.661977,-74.05808,2582.2000
MEDIDA:,0,0,0,0,25/4/2017,22:10:53.00,4.661983,-74.05809,2582.1000
STOP
MEDIDA:,0,0,0,0,25/4/2017,22:12:51.00,4.661947,-74.05811,2585.5000
MEDIDA:,0,0,0,0,25/4/2017,22:12:52.00,4.661932,-74.05813,2585.1000
MEDIDA:,0,0,0,1221,25/4/2017,22:12:53.00,4.661922,-74.05814,2585.9000
MEDIDA:,0,0,0,1354,25/4/2017,22:12:54.00,4.661910,-74.05814,2587.0000
MEDIDA:,0,0,0,1354,25/4/2017,22:12:55.00,4.661900,-74.05815,2587.8000
MEDIDA:,0,0,0,1693,25/4/2017,22:12:56.00,4.661893,-74.05816,2588.2000
MEDIDA:,0,0,0,1693,25/4/2017,22:12:57.00,4.661883,-74.05816,2588.5000
MEDIDA:,0,0,0,1693,25/4/2017,22:12:58.00,4.661877,-74.05817,2589.2000
MEDIDA:,0,0,0,1693,25/4/2017,22:12:59.00,4.661865,-74.05816,2590.7000
STOP
MEDIDA:,0,0,0,0,25/4/2017,22:13:27.00,4.661803,-74.05817,2599.5000
MEDIDA:,0,0,0,648,25/4/2017,22:13:28.00,4.661782,-74.05817,2596.8000
MEDIDA:,0,0,1049,436,25/4/2017,22:13:29.00,4.661742,-74.05818,2595.0000
MEDIDA:,0,0,816,354,25/4/2017,22:13:30.00,4.661710,-74.05820,2594.2000
MEDIDA:,0,0,728,341,25/4/2017,22:13:31.00,4.661665,-74.05823,2592.5000
MEDIDA:,0,0,696,334,25/4/2017,22:13:32.00,4.661618,-74.05825,2592.3000
MEDIDA:,0,0,696,348,25/4/2017,22:13:33.00,4.661577,-74.05828,2593.0000
MEDIDA:,0,0,696,372,25/4/2017,22:13:34.00,4.661542,-74.05831,2593.6000
MEDIDA:,0,0,696,381,25/4/2017,22:13:35.00,4.661508,-74.05833,2593.8000
MEDIDA:,0,0,0,394,25/4/2017,22:13:36.00,4.661473,-74.05835,2594.2000
MEDIDA:,0,0,0,416,25/4/2017,22:13:37.00,4.661452,-74.05836,2595.5000
MEDIDA:,0,0,0,435,25/4/2017,22:13:38.00,4.661418,-74.05839,2594.8000
MEDIDA:,0,0,0,470,25/4/2017,22:13:39.00,4.661393,-74.05840,2595.5000
MEDIDA:,0,0,0,512,25/4/2017,22:13:40.00,4.661365,-74.05842,2595.5000
MEDIDA:,0,0,0,537,25/4/2017,22:13:41.00,4.661345,-74.05843,2597.3000
MEDIDA:,0,0,0,610,25/4/2017,22:13:42.00,4.661317,-74.05843,2598.3000
MEDIDA:,0,0,0,692,25/4/2017,22:13:43.00,4.661302,-74.05845,2598.7000
MEDIDA:,0,0,0,850,25/4/2017,22:13:44.00,4.661283,-74.05846,2597.5000
MEDIDA:,0,0,0,1176,25/4/2017,22:13:45.00,4.661273,-74.05847,2597.1000
MEDIDA:,0,0,0,1176,25/4/2017,22:13:46.00,4.661267,-74.05850,2595.5000
MEDIDA:,0,0,0,1461,25/4/2017,22:13:47.00,4.661260,-74.05853,2596.3000
MEDIDA:,0,0,0,1461,25/4/2017,22:13:48.00,4.661253,-74.05854,2596.6000
MEDIDA:,0,0,0,1461,25/4/2017,22:13:49.00,4.661253,-74.05855,2596.6000
MEDIDA:,0,0,0,1461,25/4/2017,22:13:50.00,4.661257,-74.05855,2596.8000
STOP
MEDIDA:,0,0,0,0,25/4/2017,22:14:31.00,4.661223,-74.05851,2599.7000
MEDIDA:,0,0,0,322,25/4/2017,22:14:32.00,4.661207,-74.05847,2601.7000
MEDIDA:,0,0,662,308,25/4/2017,22:14:33.00,4.661182,-74.05843,2602.6000
