type,latitude,longitude,altitude (m),name
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
