type,latitude,longitude,altitude (m),name
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,0,0,0,
T,4.661245,-74.05857,2566.3,
T,4.661233,-74.05855,2566.3,
T,4.661213,-74.05852,2566.2,
T,4.661198,-74.0585,2566.2,
T,4.661173,-74.05846,2566.2,
T,4.661152,-74.05843,2566.1,
T,4.661128,-74.05839,2566.1,
T,4.66109,-74.05835,2566,
T,4.661057,-74.05831,2566.1,
T,4.661028,-74.05826,2566.3,
T,4.661,-74.05821,2566.5,
T,4.660975,-74.05818,2566.7,
T,4.660953,-74.05814,2566.9,
T,4.66092,-74.05811,2567,
T,4.660893,-74.05807,2567.2,
T,4.660863,-74.05804,2567.4,
T,4.660842,-74.058,2567.6,
T,4.660813,-74.05796,2567.9,
T,4.660785,-74.05793,2568.1,
T,4.660775,-74.05789,2568.4,
T,4.660737,-74.05784,2568.8,
T,4.66071,-74.05781,2569,
T,4.660675,-74.05776,2569.4,
T,4.660658,-74.05773,2569.6,
T,4.660637,-74.05769,2569.8,
T,4.660613,-74.05766,2570.1,
T,4.66059,-74.05762,2570.3,
T,4.660572,-74.05758,2570.6,
T,4.660548,-74.05754,2570.9,
T,4.66052,-74.05751,2571.1,
T,4.660483,-74.05747,2571.4,
T,4.66046,-74.05744,2571.6,
T,4.660453,-74.0574,2571.8,
T,4.660418,-74.05737,2572,
T,4.660403,-74.05733,2572.3,
T,4.660385,-74.05729,2572.5,
T,4.660357,-74.05725,2572.7,
T,4.660325,-74.05722,2572.9,
T,4.660308,-74.05718,2573.1,
T,4.66029,-74.05715,2573.2,
T,4.66026,-74.05712,2573.4,
T,4.66023,-74.05708,2573.6,
T,4.660213,-74.05706,2573.7,
T,4.6602,-74.05702,2573.8,
T,4.660182,-74.057,2573.9,
T,4.660168,-74.05698,2574,
T,4.660153,-74.05696,2574.1,
T,4.660142,-74.05694,2574.2,
T,4.660145,-74.05693,2574.2,
