HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,0,908,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,908,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1476,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1018,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,911,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,967,0/0/2000,00:00:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,849,0/0/2000,22:37:33.87,0.000000,0.000000,0.000000
MEDIDA:,0,0,1886,771,0/0/2000,22:37:35.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1886,747,0/0/2000,22:37:36.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1745,701,0/0/2000,22:37:37.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1745,678,0/0/2000,22:37:38.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1619,647,0/0/2000,22:37:38.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1505,612,0/0/2000,22:37:40.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1412,594,0/0/2000,22:37:41.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1412,570,0/0/2000,22:37:42.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1338,555,0/0/2000,22:37:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1293,549,0/0/2000,22:37:44.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1263,534,0/0/2000,22:37:44.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1263,530,0/0/2000,22:37:46.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1235,524,29/8/2017,22:37:47.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1234,519,29/8/2017,22:37:48.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1214,511,29/8/2017,22:37:49.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1198,507,29/8/2017,22:37:50.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1198,504,29/8/2017,22:37:50.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1198,520,29/8/2017,22:37:52.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1198,542,29/8/2017,22:37:53.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1198,646,29/8/2017,22:37:54.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,675,29/8/2017,22:37:55.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,670,29/8/2017,22:37:56.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1574,582,29/8/2017,22:37:57.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1396,574,29/8/2017,22:37:58.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1261,529,29/8/2017,22:37:59.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1261,508,29/8/2017,22:38:00.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1186,485,29/8/2017,22:38:01.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1147,486,29/8/2017,22:38:02.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1141,479,29/8/2017,22:38:03.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1107,467,29/8/2017,22:38:04.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1083,460,29/8/2017,22:38:05.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1081,459,29/8/2017,22:38:06.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1085,459,29/8/2017,22:38:07.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1083,461,29/8/2017,22:38:08.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1097,469,29/8/2017,22:38:08.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1097,471,29/8/2017,22:38:10.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1100,453,29/8/2017,22:38:11.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1062,439,29/8/2017,22:38:12.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1035,436,29/8/2017,22:38:13.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1031,448,29/8/2017,22:38:14.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1068,463,29/8/2017,22:38:14.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1088,460,29/8/2017,22:38:16.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1079,452,29/8/2017,22:38:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1064,450,29/8/2017,22:38:18.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1062,451,29/8/2017,22:38:19.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1052,444,29/8/2017,22:38:20.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1036,434,29/8/2017,22:38:20.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1019,432,29/8/2017,22:38:22.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1023,434,29/8/2017,22:38:23.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1019,430,29/8/2017,22:38:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1027,442,29/8/2017,22:38:25.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1051,445,29/8/2017,22:38:26.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1051,431,29/8/2017,22:38:26.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1016,427,29/8/2017,22:38:28.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1005,425,29/8/2017,22:38:29.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1002,424,29/8/2017,22:38:30.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,999,424,29/8/2017,22:38:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,993,415,29/8/2017,22:38:32.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,951,398,29/8/2017,22:38:32.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,940,400,29/8/2017,22:38:34.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,967,413,29/8/2017,22:38:35.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,967,422,29/8/2017,22:38:36.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,994,424,29/8/2017,22:38:37.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,977,413,29/8/2017,22:38:38.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,976,417,29/8/2017,22:38:38.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,976,419,29/8/2017,22:38:40.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,976,419,29/8/2017,22:38:41.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,976,440,29/8/2017,22:38:42.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,976,480,29/8/2017,22:38:43.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,502,29/8/2017,22:38:44.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,497,29/8/2017,22:38:44.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,494,29/8/2017,22:38:46.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1172,499,29/8/2017,22:38:47.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1155,477,29/8/2017,22:38:48.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1155,497,29/8/2017,22:38:49.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1155,515,29/8/2017,22:38:50.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1155,541,29/8/2017,22:38:50.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,3754,529,29/8/2017,22:38:52.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1238,519,29/8/2017,22:38:53.00,0.000000,0.000000,0.000000
