HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG,GPS_ALT
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG,ALT
MEDIDA:,0,0,0,0,6/10/2017,10:38:11.00,4.666477,-74.07043,2602.1000
MEDIDA:,0,0,0,0,6/10/2017,10:38:12.00,4.666454,-74.07043,2601.0000
MEDIDA:,0,0,0,0,6/10/2017,10:38:13.00,4.666470,-74.07045,2596.8000
MEDIDA:,0,0,0,0,6/10/2017,10:38:14.00,4.666493,-74.07045,2594.6000
STOP
MEDIDA:,0,0,0,0,6/10/2017,10:38:25.00,4.666507,-74.07049,2592.6000
MEDIDA:,0,0,0,849,6/10/2017,10:38:26.00,4.666494,-74.07050,2591.5000
MEDIDA:,0,0,0,751,6/10/2017,10:38:27.00,4.666479,-74.07051,2592.1000
MEDIDA:,0,0,0,686,6/10/2017,10:38:28.00,4.666464,-74.07052,2590.2000
MEDIDA:,0,0,0,631,6/10/2017,10:38:29.00,4.666456,-74.07055,2587.6000
MEDIDA:,0,0,0,648,6/10/2017,10:38:30.00,4.666444,-74.07057,2587.8000
MEDIDA:,0,0,0,651,6/10/2017,10:38:31.00,4.666432,-74.07060,2588.6000
MEDIDA:,0,0,0,696,6/10/2017,10:38:32.00,4.666419,-74.07063,2587.1000
MEDIDA:,0,0,0,645,6/10/2017,10:38:33.00,4.666406,-74.07065,2587.4000
MEDIDA:,0,0,0,575,6/10/2017,10:38:34.00,4.666389,-74.07067,2587.7000
MEDIDA:,0,0,0,533,6/10/2017,10:38:35.00,4.666370,-74.07069,2588.7000
MEDIDA:,0,0,0,493,6/10/2017,10:38:36.00,4.666345,-74.07071,2589.6000
MEDIDA:,0,0,0,449,6/10/2017,10:38:37.00,4.666322,-74.07073,2591.4000
MEDIDA:,0,0,0,432,6/10/2017,10:38:38.00,4.666298,-74.07076,2591.8000
MEDIDA:,0,0,0,411,6/10/2017,10:38:39.00,4.666271,-74.07078,2592.4000
MEDIDA:,0,0,0,404,6/10/2017,10:38:40.00,4.666244,-74.07080,2594.1000
MEDIDA:,0,0,0,388,6/10/2017,10:38:41.00,4.666202,-74.07082,2594.4000
MEDIDA:,0,0,0,377,6/10/2017,10:38:42.00,4.666149,-74.07084,2591.7000
MEDIDA:,0,0,0,380,6/10/2017,10:38:43.00,4.666106,-74.07087,2589.2000
MEDIDA:,0,0,0,393,6/10/2017,10:38:44.00,4.666060,-74.07091,2585.5000
MEDIDA:,0,0,0,442,6/10/2017,10:38:45.00,4.666021,-74.07094,2584.0000
MEDIDA:,0,0,0,419,6/10/2017,10:38:45.00,4.666021,-74.07094,2584.0000
